Included,userid,userid_y,category,Pi_alters_ratio,USLR,SLR,dataset
9,2.0,958.0,CB-1H-MFN,0.3679622978749856,0.10121457489878542,0.9485469271081468,BrightKite
10,2.0,1500.0,CB-1H-MFN,0.3800087098522324,0.11336032388663968,1.046688899475941,BrightKite
1,3.0,123.0,CB-1H-MFN,0.5100965061417625,0.033816425120772944,0.08715083798882682,BrightKite
2,3.0,1.0,CB-1H-MFN,0.4540587804359485,0.043478260869565216,0.17206703910614524,BrightKite
3,3.0,11.0,CB-1H-MFN,0.4626688863017641,0.05314009661835749,0.22849162011173185,BrightKite
4,3.0,7.0,CB-1H-MFN,0.5234885250429128,0.05797101449275361,0.323463687150838,BrightKite
5,3.0,46.0,CB-1H-MFN,0.5700794725627711,0.05917874396135265,0.3675977653631285,BrightKite
6,3.0,23.0,CB-1H-MFN,0.5898653533471144,0.07608695652173914,0.452513966480447,BrightKite
7,3.0,42.0,CB-1H-MFN,0.6071770625045976,0.0785024154589372,0.5011173184357542,BrightKite
8,3.0,124.0,CB-1H-MFN,0.616609085384645,0.0785024154589372,0.5586592178770949,BrightKite
9,3.0,5.0,CB-1H-MFN,0.6282588955745346,0.07971014492753623,0.5815642458100558,BrightKite
10,3.0,40.0,CB-1H-MFN,0.6313660270992366,0.07971014492753623,0.6078212290502794,BrightKite
1,7.0,1.0,CB-1H-MFN,0.7647835417695257,0.03763440860215054,0.3228004956629492,BrightKite
2,7.0,42.0,CB-1H-MFN,0.8525638967423169,0.1003584229390681,0.476456009913259,BrightKite
3,7.0,11.0,CB-1H-MFN,0.8631655386748882,0.13799283154121866,0.6449814126394052,BrightKite
4,7.0,123.0,CB-1H-MFN,0.8730181630503201,0.16666666666666666,0.7211895910780669,BrightKite
5,7.0,124.0,CB-1H-MFN,0.8988544726144703,0.1827956989247312,0.9182156133828996,BrightKite
6,7.0,23.0,CB-1H-MFN,0.9129108034646564,0.2043010752688172,1.104089219330855,BrightKite
7,7.0,0.0,CB-1H-MFN,0.9101287879511636,0.2132616487455197,1.1660470879801734,BrightKite
8,7.0,30.0,CB-1H-MFN,0.9087769911791752,0.2347670250896057,1.255266418835192,BrightKite
9,7.0,35.0,CB-1H-MFN,0.9083992465335232,0.23835125448028674,1.2899628252788105,BrightKite
10,7.0,74.0,CB-1H-MFN,0.9194975097411182,0.2419354838709677,1.325898389095415,BrightKite
1,11.0,7.0,CB-1H-MFN,0.2833620574512395,0.1020408163265306,0.12970910824988074,BrightKite
2,11.0,42.0,CB-1H-MFN,0.4281603948020419,0.12698412698412698,0.21602288984263232,BrightKite
3,11.0,124.0,CB-1H-MFN,0.4603777491211867,0.15419501133786848,0.30853600381497376,BrightKite
4,11.0,23.0,CB-1H-MFN,0.4615620985807001,0.16099773242630386,0.3862660944206008,BrightKite
5,11.0,1.0,CB-1H-MFN,0.4696264201686234,0.17006802721088435,0.4773485932284216,BrightKite
6,11.0,123.0,CB-1H-MFN,0.4789172266012599,0.1746031746031746,0.5216976633285646,BrightKite
7,11.0,30.0,CB-1H-MFN,0.4668140219363066,0.18594104308390025,0.5774916547448736,BrightKite
8,11.0,26.0,CB-1H-MFN,0.4752308351497446,0.1927437641723356,0.5970433953266572,BrightKite
9,11.0,0.0,CB-1H-MFN,0.4597949665957437,0.19501133786848074,0.6394849785407726,BrightKite
10,11.0,46.0,CB-1H-MFN,0.4731884295165764,0.19727891156462585,0.6633285646161182,BrightKite
1,12.0,30.0,CB-1H-MFN,0.212965806733227,0.17647058823529413,0.1794871794871795,BrightKite
2,12.0,61.0,CB-1H-MFN,0.6775028781904058,0.20705882352941174,0.24102564102564106,BrightKite
3,12.0,1087.0,CB-1H-MFN,0.6959563449564546,0.2164705882352941,0.3806267806267806,BrightKite
4,12.0,1083.0,CB-1H-MFN,0.7046694583642067,0.2235294117647059,0.5190883190883191,BrightKite
5,12.0,900.0,CB-1H-MFN,0.7381036074462561,0.24235294117647055,0.6814814814814815,BrightKite
6,12.0,881.0,CB-1H-MFN,0.7610815770796483,0.2682352941176471,0.7435897435897436,BrightKite
7,12.0,41.0,CB-1H-MFN,0.7716149041196451,0.27058823529411763,0.8609686609686609,BrightKite
8,12.0,13.0,CB-1H-MFN,0.7897456894447378,0.27294117647058824,0.96011396011396,BrightKite
9,12.0,1309.0,CB-1H-MFN,0.7992649574993896,0.2776470588235294,1.0136752136752136,BrightKite
10,12.0,52.0,CB-1H-MFN,0.8050475252284898,0.2847058823529412,1.1207977207977209,BrightKite
1,13.0,1087.0,CB-1H-MFN,0.14650687141449933,0.0391566265060241,0.12475442043222006,BrightKite
2,13.0,92.0,CB-1H-MFN,0.3921108074963832,0.09939759036144577,0.21709233791748528,BrightKite
3,13.0,21.0,CB-1H-MFN,0.4769651716309826,0.1566265060240964,0.3664047151277014,BrightKite
4,13.0,167.0,CB-1H-MFN,0.5206133844555189,0.1716867469879518,0.4950884086444008,BrightKite
5,13.0,1017.0,CB-1H-MFN,0.5518066225624803,0.20180722891566266,0.5157170923379175,BrightKite
6,13.0,30.0,CB-1H-MFN,0.6305811332827668,0.26506024096385544,0.7092337917485265,BrightKite
7,13.0,51.0,CB-1H-MFN,0.6629185965964106,0.2981927710843373,0.793713163064833,BrightKite
8,13.0,966.0,CB-1H-MFN,0.7258590807979209,0.3102409638554217,0.8300589390962672,BrightKite
9,13.0,965.0,CB-1H-MFN,0.7529809002983466,0.3253012048192771,0.9145383104125736,BrightKite
10,13.0,1944.0,CB-1H-MFN,0.7568360636407695,0.3343373493975904,1.0461689587426326,BrightKite
1,17.0,1180.0,CB-1H-MFN,0.8005297509115631,0.12425149700598803,0.09384908053265696,BrightKite
2,17.0,37.0,CB-1H-MFN,0.5733915934671524,0.21107784431137724,0.1731135066582118,BrightKite
3,17.0,189.0,CB-1H-MFN,0.6607697207058596,0.23652694610778446,0.2536461636017755,BrightKite
4,17.0,49.0,CB-1H-MFN,0.6773066156992409,0.25,0.41597970830691183,BrightKite
5,17.0,27.0,CB-1H-MFN,0.727216353884104,0.2604790419161677,0.4724159797083069,BrightKite
6,17.0,1179.0,CB-1H-MFN,0.7609827114293257,0.2754491017964072,0.5497780596068484,BrightKite
7,17.0,1147.0,CB-1H-MFN,0.7705828093169126,0.2829341317365269,0.6005072923272036,BrightKite
8,17.0,1148.0,CB-1H-MFN,0.7924643021591664,0.2859281437125749,0.6429930247305009,BrightKite
9,17.0,1140.0,CB-1H-MFN,0.7982604472604302,0.3083832335329341,0.7114774889029803,BrightKite
10,17.0,1208.0,CB-1H-MFN,0.8197476627141282,0.31736526946107785,0.735573874445149,BrightKite
1,21.0,1087.0,CB-1H-MFN,0.7236389507599303,0.026530612244897958,0.22709923664122136,BrightKite
2,21.0,167.0,CB-1H-MFN,0.7413211002192097,0.040816326530612235,0.4594465648854962,BrightKite
3,21.0,39235.0,CB-1H-MFN,0.8429809488237786,0.04693877551020408,0.6870229007633588,BrightKite
4,21.0,1944.0,CB-1H-MFN,0.8531062219944733,0.048979591836734684,0.8277671755725191,BrightKite
5,21.0,3384.0,CB-1H-MFN,0.8513846896762121,0.061224489795918366,1.0515267175572518,BrightKite
6,21.0,900.0,CB-1H-MFN,0.8657226863416971,0.06326530612244897,1.2280534351145038,BrightKite
7,21.0,13.0,CB-1H-MFN,0.8847183045097479,0.08775510204081632,1.3005725190839694,BrightKite
8,21.0,25.0,CB-1H-MFN,0.8882262122823198,0.10612244897959183,1.478530534351145,BrightKite
9,21.0,1708.0,CB-1H-MFN,0.8936965842545214,0.10612244897959183,1.5229007633587786,BrightKite
10,21.0,45.0,CB-1H-MFN,0.8941915033177549,0.11428571428571427,1.6207061068702289,BrightKite
1,23.0,123.0,CB-1H-MFN,0.25488505080116514,0.08627450980392158,0.10250569476082004,BrightKite
2,23.0,7.0,CB-1H-MFN,0.5645053701823071,0.1450980392156863,0.3302961275626424,BrightKite
3,23.0,42.0,CB-1H-MFN,0.701927676605252,0.16470588235294115,0.4578587699316629,BrightKite
4,23.0,124.0,CB-1H-MFN,0.7780482307074276,0.1803921568627451,0.6233864844343204,BrightKite
5,23.0,1.0,CB-1H-MFN,0.7941297234465492,0.1862745098039216,0.8018223234624146,BrightKite
6,23.0,26.0,CB-1H-MFN,0.805424838813155,0.1901960784313725,0.8435839028094153,BrightKite
7,23.0,2989.0,CB-1H-MFN,0.8453774040395282,0.1901960784313725,0.929384965831435,BrightKite
8,23.0,1695.0,CB-1H-MFN,0.8674373529739419,0.19215686274509805,0.9719058466211086,BrightKite
9,23.0,46.0,CB-1H-MFN,0.8732933529147572,0.19215686274509805,1.0273348519362189,BrightKite
10,23.0,10145.0,CB-1H-MFN,0.8754438070757325,0.19215686274509805,1.0630220197418374,BrightKite
1,29.0,1087.0,CB-1H-MFN,0.2395981500252653,0.03942652329749104,0.16264722378014582,BrightKite
2,29.0,167.0,CB-1H-MFN,0.6475538574268148,0.053763440860215055,0.3275378575434661,BrightKite
3,29.0,947.0,CB-1H-MFN,0.6791676205683457,0.06451612903225806,0.4879416713404375,BrightKite
4,29.0,1714.0,CB-1H-MFN,0.7263629338592932,0.12186379928315412,0.6107683679192373,BrightKite
5,29.0,5120.0,CB-1H-MFN,0.8212006440850862,0.12186379928315412,0.8928771733034212,BrightKite
6,29.0,900.0,CB-1H-MFN,0.8236428493221946,0.12544802867383512,1.0471116096466628,BrightKite
7,29.0,1083.0,CB-1H-MFN,0.826038510497611,0.13261648745519716,1.20527201346046,BrightKite
8,29.0,3384.0,CB-1H-MFN,0.8206849044324206,0.13978494623655913,1.3600673022994951,BrightKite
9,29.0,19552.0,CB-1H-MFN,0.8263296395533858,0.13978494623655913,1.4486819966348852,BrightKite
10,29.0,54.0,CB-1H-MFN,0.8290017481431688,0.15412186379928314,1.4817722938867075,BrightKite
1,30.0,0.0,CB-1H-MFN,0.08219043085644981,0.12467866323907455,0.2676937891189215,BrightKite
2,30.0,12.0,CB-1H-MFN,0.7298939395690192,0.2043701799485861,0.41935483870967744,BrightKite
3,30.0,40.0,CB-1H-MFN,0.7809081342980005,0.2069408740359897,0.5782378430428503,BrightKite
4,30.0,45.0,CB-1H-MFN,0.8306958731931111,0.2660668380462725,0.7101588830043332,BrightKite
5,30.0,35.0,CB-1H-MFN,0.8403076273259551,0.2814910025706941,0.9152623976889744,BrightKite
6,30.0,41.0,CB-1H-MFN,0.8872219969609796,0.2866323907455013,1.02696196437169,BrightKite
7,30.0,189.0,CB-1H-MFN,0.9023116634292982,0.3084832904884319,1.0621088107847858,BrightKite
8,30.0,42.0,CB-1H-MFN,0.9119510656300516,0.32390745501285345,1.1261434761675493,BrightKite
9,30.0,13.0,CB-1H-MFN,0.9284726279732116,0.3393316195372751,1.2209918151179586,BrightKite
10,30.0,2.0,CB-1H-MFN,0.944391025099916,0.3444730077120823,1.3240250361097736,BrightKite
1,35.0,1087.0,CB-1H-MFN,0.40054665027306136,0.23220973782771534,0.14360938247965535,BrightKite
2,35.0,0.0,CB-1H-MFN,0.5451543337426632,0.3146067415730337,0.32168501675442795,BrightKite
3,35.0,40.0,CB-1H-MFN,0.6217566082366585,0.3146067415730337,0.4542843465773097,BrightKite
4,35.0,30.0,CB-1H-MFN,0.6596484086615096,0.3333333333333333,0.6582096696984203,BrightKite
5,35.0,29.0,CB-1H-MFN,0.6765902258626951,0.3464419475655431,0.7467687888942077,BrightKite
6,35.0,54.0,CB-1H-MFN,0.6928531656847366,0.350187265917603,0.7774054571565342,BrightKite
7,35.0,74.0,CB-1H-MFN,0.7068657817843925,0.3539325842696629,0.790808999521302,BrightKite
8,35.0,14.0,CB-1H-MFN,0.7241449985905976,0.3745318352059925,0.8228817616084251,BrightKite
9,35.0,42.0,CB-1H-MFN,0.7296391973682715,0.3820224719101124,0.8463379607467688,BrightKite
10,35.0,974.0,CB-1H-MFN,0.7400510531773218,0.3876404494382023,0.8717089516515079,BrightKite
1,36.0,2287.0,CB-1H-MFN,0.1991708046907811,0.0931899641577061,0.0657769304099142,BrightKite
2,36.0,1890.0,CB-1H-MFN,0.3035820833227167,0.14695340501792115,0.1263107721639657,BrightKite
3,36.0,1179.0,CB-1H-MFN,0.4422635531662835,0.16666666666666666,0.1444232602478551,BrightKite
4,36.0,2360.0,CB-1H-MFN,0.4667898891146476,0.17921146953405018,0.14871306005719734,BrightKite
5,36.0,2348.0,CB-1H-MFN,0.4930703213314425,0.17921146953405018,0.21973307912297427,BrightKite
6,36.0,2194.0,CB-1H-MFN,0.5520426853352716,0.18458781362007168,0.23879885605338416,BrightKite
7,36.0,4662.0,CB-1H-MFN,0.5558658530338684,0.1881720430107527,0.24356530028598666,BrightKite
8,36.0,83.0,CB-1H-MFN,0.5786502489849313,0.1935483870967742,0.2478551000953289,BrightKite
9,36.0,18.0,CB-1H-MFN,0.6308452576624879,0.1953405017921147,0.2583412774070543,BrightKite
10,36.0,2371.0,CB-1H-MFN,0.6446574843615938,0.1971326164874552,0.28026692087702576,BrightKite
1,37.0,2055.0,CB-1H-MFN,0.35400415915223005,0.016270337922403004,0.02619047619047619,BrightKite
2,37.0,1165.0,CB-1H-MFN,0.6874927446379316,0.030037546933667083,0.034761904761904765,BrightKite
3,37.0,1148.0,CB-1H-MFN,0.6745667153906659,0.0625782227784731,0.05857142857142857,BrightKite
4,37.0,1149.0,CB-1H-MFN,0.6754067379804324,0.07509386733416773,0.07095238095238095,BrightKite
5,37.0,1179.0,CB-1H-MFN,0.6365765487550091,0.09136420525657073,0.09285714285714286,BrightKite
6,37.0,1160.0,CB-1H-MFN,0.6135236442074354,0.09637046307884856,0.10952380952380952,BrightKite
7,37.0,105.0,CB-1H-MFN,0.6612345009653969,0.09887359198998748,0.11904761904761905,BrightKite
8,37.0,112.0,CB-1H-MFN,0.6706361262346514,0.10387984981226532,0.13095238095238096,BrightKite
9,37.0,27.0,CB-1H-MFN,0.6736930704240756,0.11013767209011263,0.15666666666666668,BrightKite
10,37.0,18.0,CB-1H-MFN,0.6729338518564354,0.11264080100125155,0.1719047619047619,BrightKite
1,41.0,1087.0,CB-1H-MFN,0.9038834296530648,0.13076923076923078,0.3826714801444043,BrightKite
2,41.0,30.0,CB-1H-MFN,0.9176939950687196,0.2076923076923077,0.8014440433212996,BrightKite
3,41.0,86.0,CB-1H-MFN,0.9703967245601426,0.2384615384615385,1.128158844765343,BrightKite
4,41.0,66.0,CB-1H-MFN,0.9720086893559226,0.2692307692307692,1.5,BrightKite
5,41.0,3384.0,CB-1H-MFN,0.9728855698873108,0.3076923076923077,1.84115523465704,BrightKite
6,41.0,900.0,CB-1H-MFN,0.975850190058114,0.3076923076923077,2.1552346570397107,BrightKite
7,41.0,12.0,CB-1H-MFN,0.9776630629079108,0.3230769230769231,2.527075812274368,BrightKite
8,41.0,3410.0,CB-1H-MFN,0.9806455139421341,0.3230769230769231,2.749097472924188,BrightKite
9,41.0,947.0,CB-1H-MFN,0.9816228877657492,0.3230769230769231,3.0559566787003614,BrightKite
10,41.0,25.0,CB-1H-MFN,0.9805042657798192,0.3230769230769231,3.3826714801444044,BrightKite
1,42.0,7.0,CB-1H-MFN,0.5976926620104018,0.18359375,0.4,BrightKite
2,42.0,11.0,CB-1H-MFN,0.6672251238750789,0.2265625,0.6919354838709677,BrightKite
3,42.0,124.0,CB-1H-MFN,0.7424035532800903,0.24609375,1.0129032258064516,BrightKite
4,42.0,0.0,CB-1H-MFN,0.7479215639201053,0.28125,1.1338709677419354,BrightKite
5,42.0,30.0,CB-1H-MFN,0.8041878815060777,0.328125,1.3483870967741935,BrightKite
6,42.0,23.0,CB-1H-MFN,0.8281421169245988,0.34375,1.6193548387096774,BrightKite
7,42.0,35.0,CB-1H-MFN,0.8242036441130006,0.3515625,1.6983870967741936,BrightKite
8,42.0,74.0,CB-1H-MFN,0.8403070672746661,0.37109375,1.779032258064516,BrightKite
9,42.0,5.0,CB-1H-MFN,0.8622779545866797,0.37109375,1.870967741935484,BrightKite
10,42.0,1.0,CB-1H-MFN,0.8790747572270566,0.375,2.229032258064516,BrightKite
1,45.0,30.0,CB-1H-MFN,0.3688648849876983,0.1375770020533881,0.13262342691190707,BrightKite
2,45.0,167.0,CB-1H-MFN,0.7581031398868858,0.1375770020533881,0.22313649564375604,BrightKite
3,45.0,21.0,CB-1H-MFN,0.7600710090826743,0.14168377823408626,0.32236205227492737,BrightKite
4,45.0,1087.0,CB-1H-MFN,0.7643961089460787,0.14989733059548255,0.420135527589545,BrightKite
5,45.0,39235.0,CB-1H-MFN,0.7783727179117504,0.15195071868583165,0.5077444336882866,BrightKite
6,45.0,900.0,CB-1H-MFN,0.8005504732977429,0.16427104722792607,0.6142303969022265,BrightKite
7,45.0,13.0,CB-1H-MFN,0.8101556515971335,0.16632443531827515,0.6771539206195547,BrightKite
8,45.0,1944.0,CB-1H-MFN,0.8134800492046693,0.17248459958932238,0.7725072604065828,BrightKite
9,45.0,12.0,CB-1H-MFN,0.8278286580898568,0.19301848049281314,0.8978702807357212,BrightKite
10,45.0,882.0,CB-1H-MFN,0.8455593194389152,0.19301848049281314,1.0014520813165535,BrightKite
1,47.0,1720.0,CB-1H-MFN,0.3734906647166382,0.02112676056338028,0.18770226537216828,BrightKite
2,47.0,65.0,CB-1H-MFN,0.5932057792762874,0.051643192488262914,0.2472491909385113,BrightKite
3,47.0,76.0,CB-1H-MFN,0.6211408035511246,0.07276995305164319,0.27702265372168283,BrightKite
4,47.0,2050.0,CB-1H-MFN,0.6374204703971674,0.07276995305164319,0.2822006472491909,BrightKite
5,47.0,13640.0,CB-1H-MFN,0.6506604145524882,0.07746478873239436,0.2867313915857605,BrightKite
6,47.0,1717.0,CB-1H-MFN,0.6661786806612273,0.09859154929577464,0.30032362459546924,BrightKite
7,47.0,105.0,CB-1H-MFN,0.6844294233614474,0.1056338028169014,0.3087378640776699,BrightKite
8,47.0,987.0,CB-1H-MFN,0.7214674131892473,0.1056338028169014,0.3449838187702265,BrightKite
9,47.0,916.0,CB-1H-MFN,0.7318063782007443,0.11267605633802814,0.35080906148867314,BrightKite
10,47.0,1309.0,CB-1H-MFN,0.7332877803808039,0.11737089201877934,0.3883495145631068,BrightKite
1,49.0,27.0,CB-1H-MFN,0.6131289018967845,0.11774193548387095,0.07628437986507525,BrightKite
2,49.0,189.0,CB-1H-MFN,0.6902312744376119,0.18870967741935485,0.20446289569278672,BrightKite
3,49.0,112.0,CB-1H-MFN,0.746996089238298,0.2064516129032258,0.2475350285417748,BrightKite
4,49.0,17.0,CB-1H-MFN,0.7799928161215176,0.2338709677419355,0.3803840166061235,BrightKite
5,49.0,1180.0,CB-1H-MFN,0.8056425303184964,0.23548387096774195,0.44317592112091336,BrightKite
6,49.0,1179.0,CB-1H-MFN,0.8169575352253441,0.2467741935483871,0.5049299429164504,BrightKite
7,49.0,1160.0,CB-1H-MFN,0.8266799143294736,0.2548387096774193,0.5765438505448884,BrightKite
8,49.0,1140.0,CB-1H-MFN,0.8241019589890981,0.2629032258064516,0.6590555267254801,BrightKite
9,49.0,1148.0,CB-1H-MFN,0.8324496492894629,0.267741935483871,0.6953814218993254,BrightKite
10,49.0,1208.0,CB-1H-MFN,0.8573412695557797,0.2725806451612903,0.7125064867669954,BrightKite
1,52.0,1708.0,CB-1H-MFN,0.42452955826488303,0.20895522388059698,0.19866666666666666,BrightKite
2,52.0,969.0,CB-1H-MFN,0.6398782606725508,0.29850746268656714,0.488,BrightKite
3,52.0,1714.0,CB-1H-MFN,0.7072999140206627,0.34328358208955223,0.736,BrightKite
4,52.0,947.0,CB-1H-MFN,0.7241557830671485,0.34328358208955223,0.9453333333333334,BrightKite
5,52.0,882.0,CB-1H-MFN,0.7375180083269292,0.34328358208955223,1.1733333333333331,BrightKite
6,52.0,900.0,CB-1H-MFN,0.7395019702587275,0.34328358208955223,1.3906666666666667,BrightKite
7,52.0,1309.0,CB-1H-MFN,0.7609965409599827,0.3482587064676617,1.5013333333333334,BrightKite
8,52.0,958.0,CB-1H-MFN,0.7677480972587696,0.3482587064676617,1.7253333333333334,BrightKite
9,52.0,19552.0,CB-1H-MFN,0.7808918848356741,0.3482587064676617,1.9346666666666668,BrightKite
10,52.0,906.0,CB-1H-MFN,0.7994977507366728,0.3482587064676617,2.006666666666667,BrightKite
1,67.0,985.0,CB-1H-MFN,0.4356620366742077,0.18202764976958524,0.055372807017543865,BrightKite
2,67.0,92.0,CB-1H-MFN,0.40263486280549293,0.2419354838709677,0.10361842105263158,BrightKite
3,67.0,52.0,CB-1H-MFN,0.4350053085655739,0.2811059907834101,0.13432017543859648,BrightKite
4,67.0,51.0,CB-1H-MFN,0.4486868754349845,0.31105990783410137,0.17269736842105265,BrightKite
5,67.0,1003.0,CB-1H-MFN,0.5004529195637152,0.315668202764977,0.18530701754385964,BrightKite
6,67.0,916.0,CB-1H-MFN,0.5144113340859298,0.3179723502304148,0.20230263157894735,BrightKite
7,67.0,86.0,CB-1H-MFN,0.5187351840753062,0.3225806451612903,0.21929824561403508,BrightKite
8,67.0,1310.0,CB-1H-MFN,0.5894528071524227,0.3317972350230415,0.2324561403508772,BrightKite
9,67.0,13.0,CB-1H-MFN,0.6209674956926383,0.3433179723502304,0.2741228070175439,BrightKite
10,67.0,960.0,CB-1H-MFN,0.6313098432252057,0.3433179723502304,0.28015350877192985,BrightKite
1,68.0,836.0,CB-1H-MFN,0.9759806011646804,0.14634146341463414,0.739247311827957,BrightKite
2,68.0,1350.0,CB-1H-MFN,0.9932622497955296,0.14634146341463414,1.1720430107526882,BrightKite
3,68.0,75.0,CB-1H-MFN,1.0087668818108773,0.2926829268292683,1.9408602150537635,BrightKite
4,68.0,115.0,CB-1H-MFN,1.0147326461945625,0.3902439024390244,2.4946236559139785,BrightKite
5,68.0,703.0,CB-1H-MFN,1.0087026421757388,0.4390243902439024,3.1989247311827955,BrightKite
6,68.0,2772.0,CB-1H-MFN,1.0092260234643262,0.4390243902439024,3.827956989247312,BrightKite
7,68.0,1253.0,CB-1H-MFN,1.011972510266922,0.4390243902439024,3.967741935483871,BrightKite
8,68.0,1156.0,CB-1H-MFN,1.0122984286840837,0.4390243902439024,4.720430107526882,BrightKite
9,68.0,1095.0,CB-1H-MFN,1.0116752543028045,0.4390243902439024,5.048387096774194,BrightKite
10,68.0,1140.0,CB-1H-MFN,1.0104660586874858,0.4634146341463415,5.655913978494624,BrightKite
1,69.0,824.0,CB-1H-MFN,0.768058355923473,0.383879781420765,0.2972465581977472,BrightKite
2,69.0,4984.0,CB-1H-MFN,0.8359794062625551,0.4221311475409836,0.4067584480600751,BrightKite
3,69.0,362.0,CB-1H-MFN,0.8650589740306593,0.435792349726776,0.5306633291614519,BrightKite
4,69.0,354.0,CB-1H-MFN,0.8995006845614635,0.435792349726776,0.6264080100125157,BrightKite
5,69.0,4639.0,CB-1H-MFN,0.9510675306463088,0.4426229508196721,0.7440550688360451,BrightKite
6,69.0,6194.0,CB-1H-MFN,0.9664979944144652,0.4426229508196721,0.8072590738423029,BrightKite
7,69.0,17208.0,CB-1H-MFN,0.9644635364215692,0.4426229508196721,0.9011264080100124,BrightKite
8,69.0,557.0,CB-1H-MFN,0.9632634122943412,0.4453551912568306,1.0050062578222778,BrightKite
9,69.0,1094.0,CB-1H-MFN,0.9627664338192838,0.4453551912568306,1.027534418022528,BrightKite
10,69.0,2061.0,CB-1H-MFN,0.9555838431203968,0.4453551912568306,1.1332916145181475,BrightKite
1,75.0,836.0,CB-1H-MFN,0.975271900542634,0.12121212121212123,0.6194895591647331,BrightKite
2,75.0,703.0,CB-1H-MFN,0.9754535868440678,0.16666666666666666,1.2180974477958235,BrightKite
3,75.0,68.0,CB-1H-MFN,0.9886009456864344,0.24242424242424246,1.8816705336426915,BrightKite
4,75.0,115.0,CB-1H-MFN,0.9953099033151068,0.2727272727272727,2.3016241299303943,BrightKite
5,75.0,1350.0,CB-1H-MFN,1.0008508058241106,0.30303030303030304,2.68677494199536,BrightKite
6,75.0,1315.0,CB-1H-MFN,0.9996441563238156,0.3181818181818182,3.3132250580046403,BrightKite
7,75.0,49.0,CB-1H-MFN,0.9971791171011256,0.4090909090909091,3.519721577726218,BrightKite
8,75.0,1108.0,CB-1H-MFN,0.999921891505662,0.4090909090909091,3.7540603248259865,BrightKite
9,75.0,1528.0,CB-1H-MFN,1.0009825862568638,0.4393939393939394,4.132250580046404,BrightKite
10,75.0,1095.0,CB-1H-MFN,1.0009371368501914,0.4393939393939394,4.426914153132251,BrightKite
1,115.0,836.0,CB-1H-MFN,0.7519963817061938,0.14130434782608695,0.44349680170575695,BrightKite
2,115.0,75.0,CB-1H-MFN,0.7898407679765175,0.18478260869565216,0.8294243070362474,BrightKite
3,115.0,68.0,CB-1H-MFN,0.8297276344682503,0.22826086956521735,1.2686567164179106,BrightKite
4,115.0,703.0,CB-1H-MFN,0.8160319343801732,0.2608695652173913,1.6204690831556503,BrightKite
5,115.0,1350.0,CB-1H-MFN,0.9303533788577028,0.2608695652173913,1.985074626865672,BrightKite
6,115.0,183.0,CB-1H-MFN,0.9379720526822608,0.2826086956521739,2.2921108742004264,BrightKite
7,115.0,987.0,CB-1H-MFN,0.9423251162924152,0.2826086956521739,2.3837953091684434,BrightKite
8,115.0,1095.0,CB-1H-MFN,0.9414213565799062,0.2826086956521739,2.6524520255863537,BrightKite
9,115.0,1528.0,CB-1H-MFN,0.9431129579915326,0.29347826086956524,2.974413646055437,BrightKite
10,115.0,1315.0,CB-1H-MFN,0.9390394040987818,0.3043478260869565,3.4051172707889132,BrightKite
1,167.0,1087.0,CB-1H-MFN,0.8927646594046775,0.04867256637168142,0.4438579654510557,BrightKite
2,167.0,21.0,CB-1H-MFN,0.8983917567236025,0.07964601769911504,0.6775431861804223,BrightKite
3,167.0,3384.0,CB-1H-MFN,0.898767287535647,0.08407079646017701,0.9150671785028792,BrightKite
