userid_x,userid_y,meetup,percent
andrew-whitfield,jon-rohan,1,0.01
andrew-whitfield,jonathan,1,0.01
andrew-whitfield,jong-hyeon-choi,1,0.01
andrew-whitfield,justin-henderson,1,0.01
andrew-whitfield,justin-hoover,1,0.01
andrew-whitfield,kasey-crabtree,1,0.01
andrew-whitfield,kevin-skobac,1,0.01
andrew-whitfield,kirtan-patel,1,0.01
andrew-whitfield,kwan-seob-yoon,1,0.01
andrew-whitfield,marcos-r-dos-santos,1,0.01
andrew-whitfield,marcus-colina,1,0.01
andrew-whitfield,mark-kimitch,1,0.01
andrew-whitfield,matt-apps,1,0.01
andrew-whitfield,matthew-tilleard,1,0.01
andrew-whitfield,michael-crile,1,0.01
andrew-whitfield,mikael-larsson,1,0.01
andrew-whitfield,mike-dudas,1,0.01
andrew-whitfield,mike-h3,1,0.01
andrew-whitfield,mike-hoffman,1,0.01
andrew-whitfield,mike-rosenberg,1,0.01
andrew-whitfield,molly-gilbert,1,0.01
andrew-whitfield,nathan-reimer,1,0.01
andrew-whitfield,nick-runge,1,0.01
andrew-whitfield,onepiece-chopper,1,0.01
andrew-whitfield,patrick-campbell1,1,0.01
andrew-whitfield,paul-whitaker,1,0.01
andrew-whitfield,phil-adams,1,0.01
andrew-whitfield,rafael-rivera,1,0.01
andrew-whitfield,rob-gutierrez,1,0.01
andrew-whitfield,rommie-johnson,1,0.01
andrew-whitfield,ross-hurst,1,0.01
andrew-whitfield,ruslan-aliev,1,0.01
andrew-whitfield,sam-cole,1,0.01
andrew-whitfield,sean-oliver,1,0.01
andrew-whitfield,sean-rose,1,0.01
andrew-whitfield,sean-weller,1,0.01
andrew-whitfield,shinya-sakemoto,1,0.01
andrew-whitfield,shion-guha,1,0.01
andrew-whitfield,steve-l,1,0.01
andrew-whitfield,steve-marcus,1,0.01
andrew-whitfield,steve5,1,0.01
andrew-whitfield,terrence,1,0.01
andrew-whitfield,thibault-penicaut,1,0.01
andrew-whitfield,tiago-mateus-pereira,1,0.01
andrew-whitfield,tim-marshall0,1,0.01
andrew-whitfield,tom-brucato,1,0.01
andrew-whitfield,tom-teotico,1,0.01
andrew-whitfield,tyler-t,1,0.01
andrew-whitfield,vaughn-allen,1,0.01
andrew-whitfield,victor-hlebetz,1,0.01
andrew-whitfield,vincent-lim-show-chen,1,0.01
andrew-whitfield,wayne-r,1,0.01
andrew-whitfield,willie-myers,1,0.01
andrew-whitfield,willou,1,0.01
andrew-whitfield,wini-strudl,1,0.01
andrew-whitfield,zachary-fouts,1,0.01
andy-edmonds,anna-d,2,0.017699115044247787
andy-edmonds,chris-carter5,2,0.017699115044247787
andy-edmonds,dominic-preuss,2,0.017699115044247787
andy-edmonds,ed-costello,2,0.017699115044247787
andy-edmonds,ed-palumbo,2,0.017699115044247787
andy-edmonds,ellen-chisa,2,0.017699115044247787
andy-edmonds,jennifer-escalona,2,0.017699115044247787
andy-edmonds,localkit,2,0.017699115044247787
andy-edmonds,michelle-shildkret,2,0.017699115044247787
andy-edmonds,nickd,2,0.017699115044247787
andy-edmonds,oscar-trelles,2,0.017699115044247787
andy-edmonds,sarah-wulfeck,2,0.017699115044247787
andy-edmonds,stephen-riley,2,0.017699115044247787
andy-edmonds,alexdc,1,0.008849557522123894
andy-edmonds,andrea-rosen,1,0.008849557522123894
andy-edmonds,andrew-seigner,1,0.008849557522123894
andy-edmonds,anibal-casso,1,0.008849557522123894
andy-edmonds,antone-johnson,1,0.008849557522123894
andy-edmonds,boris-wertz,1,0.008849557522123894
andy-edmonds,brad-garlinghouse,1,0.008849557522123894
andy-edmonds,brandon-eley,1,0.008849557522123894
andy-edmonds,brandon-sheats,1,0.008849557522123894
andy-edmonds,brian-walsh,1,0.008849557522123894
andy-edmonds,brynn-evans,1,0.008849557522123894
andy-edmonds,cap-watkins,1,0.008849557522123894
andy-edmonds,char-zvolanek,1,0.008849557522123894
andy-edmonds,chris-bergman,1,0.008849557522123894
andy-edmonds,chris-butler,1,0.008849557522123894
andy-edmonds,chris-cook,1,0.008849557522123894
andy-edmonds,christopher-doorley,1,0.008849557522123894
andy-edmonds,dana-brandon-kreiss,1,0.008849557522123894
andy-edmonds,darcie-tanner-condie,1,0.008849557522123894
andy-edmonds,daryn-nakhuda,1,0.008849557522123894
andy-edmonds,dave-taylor,1,0.008849557522123894
andy-edmonds,derek-overbey,1,0.008849557522123894
andy-edmonds,devin-reams,1,0.008849557522123894
andy-edmonds,dre-labre,1,0.008849557522123894
andy-edmonds,dustin-whittle,1,0.008849557522123894
andy-edmonds,edward-boches,1,0.008849557522123894
andy-edmonds,erik-michaels-ober,1,0.008849557522123894
andy-edmonds,florian-seroussi,1,0.008849557522123894
andy-edmonds,gavin-becker,1,0.008849557522123894
andy-edmonds,gerard-ramos,1,0.008849557522123894
andy-edmonds,hawaii,1,0.008849557522123894
andy-edmonds,j-allen,1,0.008849557522123894
andy-edmonds,jaime-macias,1,0.008849557522123894
andy-edmonds,jarad-bernstein,1,0.008849557522123894
andy-edmonds,jason-long,1,0.008849557522123894
andy-edmonds,jenn-winger,1,0.008849557522123894
andy-edmonds,jeremy-fuksa,1,0.008849557522123894
andy-edmonds,jill-hanner,1,0.008849557522123894
andy-edmonds,jina-bolton,1,0.008849557522123894
andy-edmonds,joel-housman,1,0.008849557522123894
andy-edmonds,joey-trotz,1,0.008849557522123894
andy-edmonds,john1,1,0.008849557522123894
andy-edmonds,johnny-hugel,1,0.008849557522123894
andy-edmonds,jonathan-betz,1,0.008849557522123894
andy-edmonds,jonathan-vu,1,0.008849557522123894
andy-edmonds,joshua-brewer,1,0.008849557522123894
andy-edmonds,joshua-ehart,1,0.008849557522123894
andy-edmonds,justin-michaliga,1,0.008849557522123894
andy-edmonds,karen-lee,1,0.008849557522123894
andy-edmonds,khoa-le,1,0.008849557522123894
andy-edmonds,kienan-clute,1,0.008849557522123894
andy-edmonds,kristin-maverick,1,0.008849557522123894
andy-edmonds,lisa-kamm,1,0.008849557522123894
andy-edmonds,maria-ogneva,1,0.008849557522123894
andy-edmonds,mark-burstiner,1,0.008849557522123894
andy-edmonds,mark-himmelsbach,1,0.008849557522123894
andy-edmonds,matt-britton,1,0.008849557522123894
andy-edmonds,matt-haughey,1,0.008849557522123894
andy-edmonds,matthew-h,1,0.008849557522123894
andy-edmonds,michael-lobikis,1,0.008849557522123894
andy-edmonds,michael-tabtabai,1,0.008849557522123894
andy-edmonds,mike-damico,1,0.008849557522123894
andy-edmonds,mike-fabio,1,0.008849557522123894
andy-edmonds,moka-pantages,1,0.008849557522123894
andy-edmonds,nan-palmero,1,0.008849557522123894
andy-edmonds,nick-seguin,1,0.008849557522123894
andy-edmonds,nick-vlku,1,0.008849557522123894
andy-edmonds,nick-williams4,1,0.008849557522123894
andy-edmonds,oscar-garza7,1,0.008849557522123894
andy-edmonds,pat-bronson,1,0.008849557522123894
andy-edmonds,peter-gregson,1,0.008849557522123894
andy-edmonds,phil-gillman,1,0.008849557522123894
andy-edmonds,rhoda-garcia,1,0.008849557522123894
andy-edmonds,rich-thomas,1,0.008849557522123894
andy-edmonds,richard-titus,1,0.008849557522123894
andy-edmonds,richlocation,1,0.008849557522123894
andy-edmonds,rosie-siman,1,0.008849557522123894
andy-edmonds,ross-hill,1,0.008849557522123894
andy-edmonds,ryan-schroeder9,1,0.008849557522123894
andy-edmonds,saadiq-rodgers-king,1,0.008849557522123894
andy-edmonds,seth-glickman,1,0.008849557522123894
andy-edmonds,tom-mascardo,1,0.008849557522123894
andy-edmonds,tyler-hayes,1,0.008849557522123894
andy-edmonds,virginia-ivey,1,0.008849557522123894
andy-edmonds,werner-vogels,1,0.008849557522123894
andy-edmonds,zach-brock,1,0.008849557522123894
andy-edmonds,zak-j,1,0.008849557522123894
atknktn,matsukaz,28,0.06682577565632458
atknktn,kazuhiko-kokaji,24,0.057279236276849645
atknktn,masa-kawamukai,24,0.057279236276849645
atknktn,tsubasa-a,24,0.057279236276849645
atknktn,hironao,22,0.05250596658711217
atknktn,tetsunosuke-ito,15,0.03579952267303103
atknktn,k_sukigara,12,0.028639618138424822
atknktn,kazuhito-kidachi,11,0.026252983293556086
atknktn,26,10,0.02386634844868735
atknktn,koichi-inao,10,0.02386634844868735
atknktn,youhei-nitta,10,0.02386634844868735
atknktn,akamatsu-yuki,9,0.021479713603818614
atknktn,yoshihiro,9,0.021479713603818614
atknktn,ayumi-m,8,0.01909307875894988
atknktn,butakao,7,0.016706443914081145
atknktn,eugene-donca-mollino,7,0.016706443914081145
atknktn,kazuya-takeshima,7,0.016706443914081145
atknktn,takahiro-yamamoto,7,0.016706443914081145
atknktn,caesium133,6,0.014319809069212411
atknktn,fumon-masahiro,6,0.014319809069212411
atknktn,jazznotjazz,6,0.014319809069212411
atknktn,junji-yumoto,6,0.014319809069212411
atknktn,gotetsu,5,0.011933174224343675
atknktn,kazu-skywalker,5,0.011933174224343675
atknktn,poca,5,0.011933174224343675
atknktn,saiut,5,0.011933174224343675
atknktn,00-a,4,0.00954653937947494
atknktn,atsushi-nakamura,4,0.00954653937947494
atknktn,chibaffee,4,0.00954653937947494
atknktn,otakahashi_cojp,4,0.00954653937947494
atknktn,29,3,0.007159904534606206
atknktn,hideaki-kiko,3,0.007159904534606206
atknktn,kaichi-kuroda,3,0.007159904534606206
atknktn,lef,3,0.007159904534606206
atknktn,loop99,3,0.007159904534606206
atknktn,maako-tazawa,3,0.007159904534606206
atknktn,mctoshi,3,0.007159904534606206
atknktn,otarako,3,0.007159904534606206
atknktn,syochin,3,0.007159904534606206
atknktn,takeshi-yamamoto,3,0.007159904534606206
atknktn,voyager_vision,3,0.007159904534606206
atknktn,yusuke-hasegawa,3,0.007159904534606206
atknktn,bakainu,2,0.00477326968973747
atknktn,callorus,2,0.00477326968973747
atknktn,chibi_friend,2,0.00477326968973747
atknktn,fakery99,2,0.00477326968973747
atknktn,fazz0611,2,0.00477326968973747
atknktn,gakujin-hirasuna,2,0.00477326968973747
atknktn,hiroyuki-hirakoba,2,0.00477326968973747
atknktn,ichikawa-yuichi,2,0.00477326968973747
atknktn,jambo-t,2,0.00477326968973747
atknktn,kazuya-minamisawa,2,0.00477326968973747
atknktn,kyocorin,2,0.00477326968973747
atknktn,mas-daq,2,0.00477326968973747
atknktn,mochi_oka,2,0.00477326968973747
atknktn,n0bisuke,2,0.00477326968973747
atknktn,nob-seki,2,0.00477326968973747
atknktn,soukun86,2,0.00477326968973747
atknktn,teru,2,0.00477326968973747
atknktn,tetsuya-sato,2,0.00477326968973747
atknktn,tomomi,2,0.00477326968973747
atknktn,uskeda3mm,2,0.00477326968973747
atknktn,yoshitak,2,0.00477326968973747
atknktn,626024,1,0.002386634844868735
atknktn,826,1,0.002386634844868735
atknktn,chihaya,1,0.002386634844868735
atknktn,clark,1,0.002386634844868735
atknktn,do9-iigane,1,0.002386634844868735
atknktn,goryugo,1,0.002386634844868735
atknktn,hidekazu-ii,1,0.002386634844868735
atknktn,hiderows,1,0.002386634844868735
atknktn,hiroshi-ota,1,0.002386634844868735
atknktn,inuji,1,0.002386634844868735
atknktn,k_m_b,1,0.002386634844868735
atknktn,kaerugeko,1,0.002386634844868735
atknktn,kaoru-sudo,1,0.002386634844868735
atknktn,leon-tai,1,0.002386634844868735
atknktn,manabu-tanaka,1,0.002386634844868735
atknktn,masafumi-tada,1,0.002386634844868735
atknktn,masahiro-iba,1,0.002386634844868735
atknktn,masahiro-nishiguchi,1,0.002386634844868735
atknktn,masanori-takada,1,0.002386634844868735
atknktn,masashi-hisatsugu,1,0.002386634844868735
atknktn,masashi-yamada,1,0.002386634844868735
atknktn,mizuman,1,0.002386634844868735
atknktn,mossy_13,1,0.002386634844868735
atknktn,nantan,1,0.002386634844868735
atknktn,naokinis,1,0.002386634844868735
atknktn,next-amakuma,1,0.002386634844868735
atknktn,niwawan,1,0.002386634844868735
atknktn,pinkpeco,1,0.002386634844868735
atknktn,ryuji-tabata,1,0.002386634844868735
atknktn,shinya-sakemoto,1,0.002386634844868735
atknktn,sugutti-kova,1,0.002386634844868735
atknktn,sunghwan-kim,1,0.002386634844868735
atknktn,takehiko-kamijo,1,0.002386634844868735
atknktn,unityan,1,0.002386634844868735
atknktn,wabisabi,1,0.002386634844868735
atknktn,wan-wan,1,0.002386634844868735
atknktn,yuji-kosugi,1,0.002386634844868735
brett-hammond,chris-pendleton,3,0.027522935779816515
brett-hammond,damien-basile,2,0.01834862385321101
brett-hammond,david-catalano,2,0.01834862385321101
brett-hammond,elavrov,2,0.01834862385321101
brett-hammond,heather-elias,2,0.01834862385321101
brett-hammond,maya-baratz,2,0.01834862385321101
brett-hammond,michelle-neuringer,2,0.01834862385321101
brett-hammond,saul-colt,2,0.01834862385321101
brett-hammond,aaron-strout,1,0.009174311926605505
brett-hammond,adam-ostrow,1,0.009174311926605505
brett-hammond,adam-schwabe,1,0.009174311926605505
brett-hammond,amy-pritchard4,1,0.009174311926605505
brett-hammond,andrew-mager,1,0.009174311926605505
brett-hammond,andrew-mclaughlin,1,0.009174311926605505
brett-hammond,angel-b,1,0.009174311926605505
brett-hammond,anna-d,1,0.009174311926605505
brett-hammond,ben-parr,1,0.009174311926605505
brett-hammond,brynn-evans,1,0.009174311926605505
brett-hammond,caroline-mccarthy,1,0.009174311926605505
brett-hammond,chris-messina7,1,0.009174311926605505
brett-hammond,chuck-reynolds,1,0.009174311926605505
brett-hammond,cyrus-k,1,0.009174311926605505
brett-hammond,daryn-nakhuda,1,0.009174311926605505
brett-hammond,dave-schumaker,1,0.009174311926605505
brett-hammond,david-berkowitz,1,0.009174311926605505
brett-hammond,david-fraga,1,0.009174311926605505
brett-hammond,dennis-grubbs,1,0.009174311926605505
brett-hammond,dennis-pilarinos,1,0.009174311926605505
brett-hammond,dens,1,0.009174311926605505
brett-hammond,drew-meyers,1,0.009174311926605505
brett-hammond,ed-costello,1,0.009174311926605505
brett-hammond,fernando-maclen,1,0.009174311926605505
brett-hammond,florian-fangohr,1,0.009174311926605505
brett-hammond,fox-woods,1,0.009174311926605505
brett-hammond,francesco-fullone,1,0.009174311926605505
brett-hammond,greg-dean,1,0.009174311926605505
brett-hammond,heiko-hebig,1,0.009174311926605505
brett-hammond,irene-tien,1,0.009174311926605505
brett-hammond,jason-lafrenais,1,0.009174311926605505
brett-hammond,jen-grant,1,0.009174311926605505
brett-hammond,jenn-lowther,1,0.009174311926605505
brett-hammond,jim-techfrog-alden,1,0.009174311926605505
brett-hammond,jim-w,1,0.009174311926605505
brett-hammond,joe-whitmarsh,1,0.009174311926605505
brett-hammond,joel-franusic,1,0.009174311926605505
brett-hammond,joey-leslie,1,0.009174311926605505
brett-hammond,jordan-running,1,0.009174311926605505
brett-hammond,jr47,1,0.009174311926605505
brett-hammond,keith-robinson,1,0.009174311926605505
brett-hammond,kimberly-turner,1,0.009174311926605505
brett-hammond,krystyl-b,1,0.009174311926605505
brett-hammond,kyle-cooney,1,0.009174311926605505
brett-hammond,lisa-french,1,0.009174311926605505
brett-hammond,liz-b,1,0.009174311926605505
brett-hammond,malcolm-ong,1,0.009174311926605505
brett-hammond,maria-ogneva,1,0.009174311926605505
brett-hammond,mark-simonds,1,0.009174311926605505
brett-hammond,massimiliano-ronzitti,1,0.009174311926605505
brett-hammond,mathieu,1,0.009174311926605505
brett-hammond,matt-biddulph,1,0.009174311926605505
brett-hammond,matt-galligan,1,0.009174311926605505
brett-hammond,matt-haughey,1,0.009174311926605505
brett-hammond,matt-kelley,1,0.009174311926605505
brett-hammond,matthew-schultz,1,0.009174311926605505
brett-hammond,melissa-c,1,0.009174311926605505
brett-hammond,melissa-leon9,1,0.009174311926605505
brett-hammond,michael-durwin,1,0.009174311926605505
brett-hammond,michelle-shildkret,1,0.009174311926605505
brett-hammond,mike-fabio,1,0.009174311926605505
brett-hammond,nan-palmero,1,0.009174311926605505
brett-hammond,nathan-bergey,1,0.009174311926605505
brett-hammond,nazer-l,1,0.009174311926605505
brett-hammond,nic-hernandez,1,0.009174311926605505
brett-hammond,paul-chintawat,1,0.009174311926605505
brett-hammond,paull-young,1,0.009174311926605505
brett-hammond,peter-kim,1,0.009174311926605505
brett-hammond,phillip-lamplugh,1,0.009174311926605505
brett-hammond,phoebe-e,1,0.009174311926605505
brett-hammond,richard-breeden1,1,0.009174311926605505
brett-hammond,rick-turoczy,1,0.009174311926605505
brett-hammond,ricky-engelberg,1,0.009174311926605505
brett-hammond,rob-agee,1,0.009174311926605505
brett-hammond,rod-begbie,1,0.009174311926605505
brett-hammond,ryan-sarver,1,0.009174311926605505
brett-hammond,ryan-schroeder9,1,0.009174311926605505
brett-hammond,sarah-cooley,1,0.009174311926605505
brett-hammond,sarah-wulfeck,1,0.009174311926605505
brett-hammond,schneidermike-schneidermike,1,0.009174311926605505
brett-hammond,scott-falconer,1,0.009174311926605505
brett-hammond,sean-percival,1,0.009174311926605505
brett-hammond,shaun-rance,1,0.009174311926605505
brett-hammond,soo-min-park,1,0.009174311926605505
brett-hammond,stan-chin,1,0.009174311926605505
brett-hammond,suzanne-marlatt,1,0.009174311926605505
brett-hammond,todd-carpenter,1,0.009174311926605505
brett-hammond,tony-santos,1,0.009174311926605505
brett-hammond,tyler-fitch,1,0.009174311926605505
brett-hammond,tyler-willis,1,0.009174311926605505
brett-hammond,victor-brilon,1,0.009174311926605505
brett-hammond,zach-brock,1,0.009174311926605505
david-justus,adam-brodowski,98,0.47115384615384615
david-justus,anne-taillandier,7,0.03365384615384615
david-justus,carolyn-weiss,2,0.009615384615384616
david-justus,chapin-clark,2,0.009615384615384616
david-justus,devin-brown,2,0.009615384615384616
david-justus,james-huerta,2,0.009615384615384616
david-justus,karen-bonna-rainert,2,0.009615384615384616
david-justus,adam-silver3,1,0.004807692307692308
david-justus,alex-horowitz,1,0.004807692307692308
david-justus,amber-rae-lambke,1,0.004807692307692308
david-justus,anchie,1,0.004807692307692308
david-justus,andrew-gwozdziewycz,1,0.004807692307692308
david-justus,andrew-won,1,0.004807692307692308
david-justus,armand-gaerlan,1,0.004807692307692308
david-justus,beep-iams,1,0.004807692307692308
david-justus,ben-breier,1,0.004807692307692308
david-justus,bitsy-hansen,1,0.004807692307692308
david-justus,bobby-miller3,1,0.004807692307692308
david-justus,byron-brewer,1,0.004807692307692308
david-justus,cesar-razuri,1,0.004807692307692308
david-justus,chris-knappick,1,0.004807692307692308
david-justus,chris-reed2,1,0.004807692307692308
david-justus,christopher-radzinski,1,0.004807692307692308
david-justus,colin-murphy,1,0.004807692307692308
david-justus,daniel-bellury,1,0.004807692307692308
david-justus,daniel-flebut,1,0.004807692307692308
david-justus,david-parmet,1,0.004807692307692308
david-justus,devon-irete,1,0.004807692307692308
david-justus,edward-barrous,1,0.004807692307692308
david-justus,emily-luger,1,0.004807692307692308
david-justus,eric-mayville,1,0.004807692307692308
david-justus,eric-wiesen,1,0.004807692307692308
david-justus,erin-sjostrom,1,0.004807692307692308
david-justus,erin27,1,0.004807692307692308
david-justus,filip-szymanski,1,0.004807692307692308
david-justus,freddie-figueroa,1,0.004807692307692308
david-justus,garrett-tillman,1,0.004807692307692308
david-justus,gavin-becker,1,0.004807692307692308
david-justus,grace-paet,1,0.004807692307692308
david-justus,greg-clayman,1,0.004807692307692308
david-justus,greg-granito,1,0.004807692307692308
david-justus,indira-vaidy,1,0.004807692307692308
david-justus,jason-pearson,1,0.004807692307692308
david-justus,jaymes-dec,1,0.004807692307692308
david-justus,jeffrey-blum,1,0.004807692307692308
david-justus,jenn-spaeth,1,0.004807692307692308
david-justus,jennifer-mcknight,1,0.004807692307692308
david-justus,jesse-brightman,1,0.004807692307692308
david-justus,jim-morrissey,1,0.004807692307692308
david-justus,jim-wallace4,1,0.004807692307692308
david-justus,john-fayard,1,0.004807692307692308
david-justus,john-zanussi,1,0.004807692307692308
david-justus,josh-morrissey,1,0.004807692307692308
david-justus,joslyn-hansen,1,0.004807692307692308
david-justus,justin-mascio,1,0.004807692307692308
david-justus,justin-moore,1,0.004807692307692308
david-justus,kate-eovino,1,0.004807692307692308
david-justus,kendra-clarke,1,0.004807692307692308
david-justus,kyle-morgan,1,0.004807692307692308
david-justus,lars-bastholm,1,0.004807692307692308
david-justus,lee-frank,1,0.004807692307692308
david-justus,lizzy,1,0.004807692307692308
david-justus,mara-evans,1,0.004807692307692308
david-justus,mary-ann-porch,1,0.004807692307692308
david-justus,mason-evans,1,0.004807692307692308
david-justus,masta-jerikan,1,0.004807692307692308
david-justus,matt-hagel,1,0.004807692307692308
david-justus,matthew-brink,1,0.004807692307692308
david-justus,matthew-lucero,1,0.004807692307692308
david-justus,megan-penmann,1,0.004807692307692308
david-justus,meghan-abraham,1,0.004807692307692308
david-justus,melis-t,1,0.004807692307692308
david-justus,melissa-hudson,1,0.004807692307692308
david-justus,neil-despres,1,0.004807692307692308
david-justus,nick-foden,1,0.004807692307692308
david-justus,nicole-hering,1,0.004807692307692308
david-justus,noah-singer,1,0.004807692307692308
david-justus,noelle-sadler,1,0.004807692307692308
david-justus,patrick-smith7,1,0.004807692307692308
david-justus,paulie-dery,1,0.004807692307692308
david-justus,peter-gallo,1,0.004807692307692308
david-justus,rahul-mahtani,1,0.004807692307692308
david-justus,rainer-k,1,0.004807692307692308
david-justus,remington-guest,1,0.004807692307692308
david-justus,richard-whitesell,1,0.004807692307692308
david-justus,roberto-osorio-goenaga,1,0.004807692307692308
david-justus,rupa-naipaul,1,0.004807692307692308
david-justus,ryan-berg,1,0.004807692307692308
david-justus,sara-lee-rost,1,0.004807692307692308
david-justus,sarah-conley,1,0.004807692307692308
david-justus,stacy-kimball,1,0.004807692307692308
david-justus,steve-dean,1,0.004807692307692308
david-justus,stuart-tracte,1,0.004807692307692308
david-justus,tatiana-peck,1,0.004807692307692308
david-justus,ted-sink,1,0.004807692307692308
david-justus,the-corcoran-group,1,0.004807692307692308
david-justus,tim-coleman,1,0.004807692307692308
david-justus,tim-katt,1,0.004807692307692308
david-justus,william-peng,1,0.004807692307692308
david-justus,zach-mack,1,0.004807692307692308
dorothy-mcgivney,rick-webb,5,0.03937007874015748
dorothy-mcgivney,nathan-folkman,4,0.031496062992125984
dorothy-mcgivney,alex-rainert,3,0.023622047244094488
dorothy-mcgivney,amber-rae-lambke,3,0.023622047244094488
dorothy-mcgivney,dens,3,0.023622047244094488
dorothy-mcgivney,jason-lafrenais,3,0.023622047244094488
dorothy-mcgivney,b-k,2,0.015748031496062992
dorothy-mcgivney,cassel-kroll,2,0.015748031496062992
dorothy-mcgivney,damien-basile,2,0.015748031496062992
dorothy-mcgivney,doug-jaeger,2,0.015748031496062992
dorothy-mcgivney,jason-liszka,2,0.015748031496062992
dorothy-mcgivney,justin-moore,2,0.015748031496062992
dorothy-mcgivney,justin-shaffer,2,0.015748031496062992
dorothy-mcgivney,lesley-forrester,2,0.015748031496062992
dorothy-mcgivney,miriam-ryan,2,0.015748031496062992
dorothy-mcgivney,regina-walton,2,0.015748031496062992
dorothy-mcgivney,stephen-koch,2,0.015748031496062992
dorothy-mcgivney,stuart-tracte,2,0.015748031496062992
dorothy-mcgivney,adam-okrasinski,1,0.007874015748031496
dorothy-mcgivney,alli,1,0.007874015748031496
dorothy-mcgivney,amir-cohen,1,0.007874015748031496
dorothy-mcgivney,ana-visan,1,0.007874015748031496
dorothy-mcgivney,andrea-rosen,1,0.007874015748031496
dorothy-mcgivney,andrew-pile,1,0.007874015748031496
dorothy-mcgivney,andy-ashburner,1,0.007874015748031496
dorothy-mcgivney,anibal-casso,1,0.007874015748031496
dorothy-mcgivney,annie-lesser,1,0.007874015748031496
dorothy-mcgivney,ari-greenberg,1,0.007874015748031496
dorothy-mcgivney,arseny-lebedev,1,0.007874015748031496
dorothy-mcgivney,austin-bryan,1,0.007874015748031496
dorothy-mcgivney,ben-kessler,1,0.007874015748031496
dorothy-mcgivney,brian-quinn,1,0.007874015748031496
dorothy-mcgivney,brian-stelter,1,0.007874015748031496
dorothy-mcgivney,brian-walsh,1,0.007874015748031496
dorothy-mcgivney,chad-pugh,1,0.007874015748031496
dorothy-mcgivney,charles-smith,1,0.007874015748031496
dorothy-mcgivney,chet-gulland,1,0.007874015748031496
dorothy-mcgivney,chris-ferry,1,0.007874015748031496
dorothy-mcgivney,chris-m7,1,0.007874015748031496
dorothy-mcgivney,chris-ricca,1,0.007874015748031496
dorothy-mcgivney,chris-woebken,1,0.007874015748031496
dorothy-mcgivney,dan-manco,1,0.007874015748031496
dorothy-mcgivney,darrell-silver,1,0.007874015748031496
dorothy-mcgivney,dave-s,1,0.007874015748031496
dorothy-mcgivney,david-gwilliam,1,0.007874015748031496
dorothy-mcgivney,david-laster,1,0.007874015748031496
dorothy-mcgivney,david-pessah,1,0.007874015748031496
dorothy-mcgivney,david-tisch,1,0.007874015748031496
dorothy-mcgivney,david-w4,1,0.007874015748031496
dorothy-mcgivney,dominic-preuss,1,0.007874015748031496
dorothy-mcgivney,eddie-mansfield,1,0.007874015748031496
dorothy-mcgivney,eflirt-expert,1,0.007874015748031496
dorothy-mcgivney,emily-luger,1,0.007874015748031496
dorothy-mcgivney,eugene-hwang,1,0.007874015748031496
dorothy-mcgivney,evan-cohen,1,0.007874015748031496
dorothy-mcgivney,hashem-bajwa,1,0.007874015748031496
dorothy-mcgivney,jake-furst,1,0.007874015748031496
dorothy-mcgivney,jason-fleetwood-boldt,1,0.007874015748031496
dorothy-mcgivney,jeff-mack,1,0.007874015748031496
dorothy-mcgivney,jeff-namnum,1,0.007874015748031496
dorothy-mcgivney,jlm,1,0.007874015748031496
dorothy-mcgivney,john-jordan,1,0.007874015748031496
dorothy-mcgivney,jorge-vargas,1,0.007874015748031496
dorothy-mcgivney,julien6,1,0.007874015748031496
dorothy-mcgivney,kati-london,1,0.007874015748031496
