Included,userid,userid_y,category,USLR,SLR
4,akshay-dodeja,marcelino-alvarez,SW-24H-MFN,0.11684782608695653,0.15348837209302327
5,akshay-dodeja,brandon-eley,SW-24H-MFN,0.010869565217391304,0.018604651162790697
6,akshay-dodeja,chris-hutchins,SW-24H-MFN,0.05434782608695652,0.05426356589147287
7,akshay-dodeja,brooke-lynn-luat,SW-24H-MFN,0.11956521739130435,0.12558139534883722
8,akshay-dodeja,benton-barnett,SW-24H-MFN,0.09782608695652174,0.08372093023255814
9,akshay-dodeja,jenna-langer,SW-24H-MFN,0.035326086956521736,0.027906976744186046
10,akshay-dodeja,henrik-fohns,SW-24H-MFN,0.01358695652173913,0.018604651162790697
1,alastair-green,christopher-callahan,SW-24H-MFN,0.06097560975609756,0.12570356472795496
2,alastair-green,blake-lown,SW-24H-MFN,0.04878048780487805,0.124765478424015
3,alastair-green,char-zvolanek,SW-24H-MFN,0.032520325203252036,0.07786116322701689
4,alastair-green,aiden-bordner,SW-24H-MFN,0.04878048780487805,0.07317073170731707
5,alastair-green,mark-likosky,SW-24H-MFN,0.042682926829268296,0.06378986866791744
6,alastair-green,smivey,SW-24H-MFN,0.03048780487804878,0.04784240150093809
7,alastair-green,daniel-henderson6,SW-24H-MFN,0.026422764227642278,0.020637898686679174
8,alastair-green,mike-jett,SW-24H-MFN,0.014227642276422764,0.0150093808630394
9,alastair-green,patrick-roanhouse,SW-24H-MFN,0.03048780487804878,0.028142589118198873
10,alastair-green,zoomy,SW-24H-MFN,0.03861788617886179,0.02626641651031895
1,alex-rainert,karen-bonna-rainert,SW-24H-MFN,0.4196642685851319,0.3676190476190476
2,alex-rainert,dens,SW-24H-MFN,0.2733812949640288,0.2619047619047619
3,alex-rainert,micah-craig,SW-24H-MFN,0.21103117505995203,0.1819047619047619
4,alex-rainert,nick-bilton,SW-24H-MFN,0.24940047961630696,0.15333333333333332
5,alex-rainert,alli,SW-24H-MFN,0.18705035971223022,0.12761904761904763
6,alex-rainert,justin-moore,SW-24H-MFN,0.15827338129496402,0.15142857142857144
7,alex-rainert,jason-liszka,SW-24H-MFN,0.12949640287769784,0.11619047619047619
8,alex-rainert,evan-cohen,SW-24H-MFN,0.09352517985611511,0.06095238095238095
9,alex-rainert,rebecca-green2,SW-24H-MFN,0.13908872901678657,0.10761904761904761
10,alex-rainert,meghan-keane,SW-24H-MFN,0.20623501199040767,0.13333333333333333
1,alex-white,micah-baldwin,SW-24H-MFN,0.17777777777777778,0.2541196877710321
2,alex-white,matt-galligan,SW-24H-MFN,0.14666666666666667,0.2220294882914137
3,alex-white,dave-taylor,SW-24H-MFN,0.10666666666666667,0.17519514310494363
4,alex-white,rob-johnson5,SW-24H-MFN,0.07407407407407407,0.12836079791847355
5,alex-white,daniel-newman,SW-24H-MFN,0.1037037037037037,0.1196877710320902
6,alex-white,saul-colt,SW-24H-MFN,0.02962962962962963,0.03295750216825672
7,alex-white,morgan-missentzis,SW-24H-MFN,0.037037037037037035,0.040763226366001735
8,alex-white,brad-feld,SW-24H-MFN,0.0874074074074074,0.14397224631396358
9,alex-white,neal-stewart,SW-24H-MFN,0.035555555555555556,0.07632263660017347
10,alex-white,heather-macdonald,SW-24H-MFN,0.01925925925925926,0.013876843018213356
1,alexis-dorenter,carla-blumenthal,SW-24H-MFN,0.21354166666666666,0.2289156626506024
2,alexis-dorenter,manisha-m,SW-24H-MFN,0.1640625,0.1927710843373494
3,alexis-dorenter,jessica01,SW-24H-MFN,0.18489583333333334,0.14457831325301204
4,alexis-dorenter,laura-macleod,SW-24H-MFN,0.1953125,0.14457831325301204
5,alexis-dorenter,vishal-sapra,SW-24H-MFN,0.14583333333333334,0.13253012048192772
6,alexis-dorenter,david-trahan,SW-24H-MFN,0.09114583333333333,0.12289156626506025
7,alexis-dorenter,matt-britton,SW-24H-MFN,0.1171875,0.08795180722891566
8,alexis-dorenter,matt-mcgee8,SW-24H-MFN,0.07552083333333333,0.1566265060240964
9,alexis-dorenter,kate-goldsmith,SW-24H-MFN,0.13020833333333334,0.10963855421686747
10,alexis-dorenter,chris-ayres,SW-24H-MFN,0.15364583333333334,0.10481927710843374
1,alli,meghan-keane,SW-24H-MFN,0.3136094674556213,0.2708333333333333
2,alli,dens,SW-24H-MFN,0.2485207100591716,0.23106060606060605
3,alli,caroline-mccarthy,SW-24H-MFN,0.3175542406311637,0.2793560606060606
4,alli,mike-hudack,SW-24H-MFN,0.10848126232741617,0.14299242424242425
5,alli,kristin-maverick,SW-24H-MFN,0.2406311637080868,0.16193181818181818
6,alli,mark-graham,SW-24H-MFN,0.1913214990138067,0.16382575757575757
7,alli,tikva-morowati,SW-24H-MFN,0.17357001972386588,0.13352272727272727
8,alli,chet-gulland,SW-24H-MFN,0.1854043392504931,0.15625
9,alli,brandon-eley,SW-24H-MFN,0.013806706114398421,0.019886363636363636
10,alli,indira-vaidy,SW-24H-MFN,0.20710059171597633,0.12878787878787878
1,amber-rae-lambke,chris-hutchins,SW-24H-MFN,0.043052837573385516,0.05070754716981132
2,amber-rae-lambke,andrew-pile,SW-24H-MFN,0.050880626223091974,0.045990566037735846
3,amber-rae-lambke,jason-kende,SW-24H-MFN,0.09980430528375733,0.10495283018867925
4,amber-rae-lambke,ana-h,SW-24H-MFN,0.13307240704500978,0.11674528301886793
5,amber-rae-lambke,alli,SW-24H-MFN,0.16634050880626222,0.1544811320754717
6,amber-rae-lambke,brandon-eley,SW-24H-MFN,0.01761252446183953,0.02240566037735849
7,amber-rae-lambke,henrik-fohns,SW-24H-MFN,0.0136986301369863,0.02122641509433962
8,amber-rae-lambke,anna-d,SW-24H-MFN,0.0821917808219178,0.07075471698113207
9,amber-rae-lambke,jim-cook,SW-24H-MFN,0.025440313111545987,0.02240566037735849
10,amber-rae-lambke,dens,SW-24H-MFN,0.1761252446183953,0.14504716981132076
1,ana-h,jason-kende,SW-24H-MFN,0.5413105413105413,0.5135135135135135
2,ana-h,tony-bacigalupo,SW-24H-MFN,0.20797720797720798,0.1928746928746929
3,ana-h,jesse-middleton,SW-24H-MFN,0.22792022792022792,0.15601965601965603
4,ana-h,amber-rae-lambke,SW-24H-MFN,0.19373219373219372,0.12162162162162163
5,ana-h,brittany-laughlin,SW-24H-MFN,0.08262108262108261,0.052825552825552825
6,ana-h,rob-kelley,SW-24H-MFN,0.1225071225071225,0.11179361179361179
7,ana-h,peter-chislett,SW-24H-MFN,0.07407407407407407,0.04914004914004914
8,ana-h,matthew-rothenberg,SW-24H-MFN,0.019943019943019943,0.013513513513513514
9,ana-h,emma-persky,SW-24H-MFN,0.07122507122507123,0.04668304668304668
10,ana-h,patrice-callender,SW-24H-MFN,0.05982905982905983,0.033169533169533166
1,andrea-rosen,brian-stelter,SW-24H-MFN,0.20784313725490197,0.16630196936542668
2,andrea-rosen,soup-soup,SW-24H-MFN,0.13333333333333333,0.10722100656455143
3,andrea-rosen,sarah-wulfeck,SW-24H-MFN,0.056862745098039215,0.05032822757111598
4,andrea-rosen,nick-douglas,SW-24H-MFN,0.23529411764705882,0.1838074398249453
5,andrea-rosen,alli,SW-24H-MFN,0.2,0.16630196936542668
6,andrea-rosen,twanna-hines,SW-24H-MFN,0.1411764705882353,0.1487964989059081
7,andrea-rosen,kristin-maverick,SW-24H-MFN,0.1980392156862745,0.18599562363238512
8,andrea-rosen,rosie-siman,SW-24H-MFN,0.16862745098039217,0.15317286652078774
9,andrea-rosen,anna-d,SW-24H-MFN,0.08823529411764706,0.0886214442013129
10,andrea-rosen,matthew-rothenberg,SW-24H-MFN,0.01568627450980392,0.015317286652078774
1,andrei-zmievski,suki-b,SW-24H-MFN,0.2621035058430718,0.18594436310395315
2,andrei-zmievski,maya-baratz,SW-24H-MFN,0.18864774624373956,0.14641288433382138
3,andrei-zmievski,ryan-king,SW-24H-MFN,0.19198664440734559,0.17642752562225475
4,andrei-zmievski,micah-saul,SW-24H-MFN,0.1302170283806344,0.10980966325036604
5,andrei-zmievski,gerard-ramos,SW-24H-MFN,0.14524207011686144,0.10980966325036604
6,andrei-zmievski,isaac-hall,SW-24H-MFN,0.11352253756260434,0.07320644216691069
7,andrei-zmievski,kara-murphy,SW-24H-MFN,0.07178631051752922,0.05197657393850659
8,andrei-zmievski,timoni-grone,SW-24H-MFN,0.17863105175292154,0.14421669106881405
9,andrei-zmievski,nate-bolt,SW-24H-MFN,0.15525876460767946,0.11200585651537336
10,andrei-zmievski,schlomo-rabinowitz,SW-24H-MFN,0.1302170283806344,0.10395314787701318
1,andrew-grill,pav-c,SW-24H-MFN,0.035541195476575124,0.03609576427255985
2,andrew-grill,diana-stepner,SW-24H-MFN,0.012116316639741519,0.019521178637200737
3,andrew-grill,mike-b8,SW-24H-MFN,0.0008077544426494346,0.007918968692449355
4,andrew-grill,jp-jones,SW-24H-MFN,0.020193861066235864,0.017863720073664824
5,andrew-grill,james-whatley,SW-24H-MFN,0.03150242326332795,0.019521178637200737
6,andrew-grill,lenise-brothers,SW-24H-MFN,0.023424878836833602,0.017495395948434623
7,andrew-grill,fraser-maclellan,SW-24H-MFN,0.008077544426494346,0.013996316758747698
8,andrew-grill,nathan-barley,SW-24H-MFN,0.006462035541195477,0.0027624309392265192
9,andrew-grill,tim-bush,SW-24H-MFN,0.027463651050080775,0.022467771639042358
10,andrew-grill,peter-gregson,SW-24H-MFN,0.03150242326332795,0.022651933701657457
1,andrew-mager,matt-hunter,SW-24H-MFN,0.14993954050785974,0.12345679012345678
2,andrew-mager,matt-galligan,SW-24H-MFN,0.12454655380894801,0.1111111111111111
3,andrew-mager,maya-baratz,SW-24H-MFN,0.16686819830713423,0.13468013468013468
4,andrew-mager,chris-hutchins,SW-24H-MFN,0.08101571946795647,0.06228956228956229
5,andrew-mager,micah-baldwin,SW-24H-MFN,0.08827085852478839,0.08024691358024691
6,andrew-mager,seth-blank,SW-24H-MFN,0.10399032648125756,0.0914702581369248
7,andrew-mager,cap-watkins,SW-24H-MFN,0.11608222490931076,0.0931537598204265
8,andrew-mager,sarah-wulfeck,SW-24H-MFN,0.07980652962515115,0.06509539842873176
9,andrew-mager,dustin-whittle,SW-24H-MFN,0.07496977025392987,0.058361391694725026
10,andrew-mager,matt-van-horn,SW-24H-MFN,0.13059250302297462,0.09988776655443322
1,andrew-pile,blake-whitman,SW-24H-MFN,0.28662420382165604,0.2648648648648649
2,andrew-pile,andrea-allen,SW-24H-MFN,0.18152866242038215,0.1891891891891892
3,andrew-pile,stephen-niebauer,SW-24H-MFN,0.15605095541401273,0.14414414414414414
4,andrew-pile,amir-cohen,SW-24H-MFN,0.23248407643312102,0.1963963963963964
5,andrew-pile,julia-heffernan,SW-24H-MFN,0.1751592356687898,0.15135135135135136
6,andrew-pile,casey-pugh,SW-24H-MFN,0.13694267515923567,0.1045045045045045
7,andrew-pile,joseph-schmitt,SW-24H-MFN,0.1178343949044586,0.0918918918918919
8,andrew-pile,chris-hutchins,SW-24H-MFN,0.028662420382165606,0.03963963963963964
9,andrew-pile,jennifer-escalona,SW-24H-MFN,0.01910828025477707,0.02702702702702703
10,andrew-pile,henrik-fohns,SW-24H-MFN,0.022292993630573247,0.03423423423423423
1,andy-amendola,john-preston-jr,SW-24H-MFN,0.05084745762711865,0.11209006363191386
2,andy-amendola,kevin-silverman,SW-24H-MFN,0.096045197740113,0.17033773861967694
3,andy-amendola,michael-disalvo,SW-24H-MFN,0.013182674199623353,0.10181106216348507
4,andy-amendola,matt-wurst,SW-24H-MFN,0.1167608286252354,0.1527165932452276
5,andy-amendola,nicole-hering,SW-24H-MFN,0.07344632768361582,0.12726382770435635
6,andy-amendola,marla-mccormick,SW-24H-MFN,0.0583804143126177,0.12187958883994127
7,andy-amendola,kai-macmahon,SW-24H-MFN,0.04519774011299435,0.07733724914341654
8,andy-amendola,gcellz-guerrero,SW-24H-MFN,0.0583804143126177,0.07440039158100832
9,andy-amendola,richard-whitesell,SW-24H-MFN,0.04519774011299435,0.05775819872736172
10,andy-amendola,sarah-hofstetter,SW-24H-MFN,0.047080979284369114,0.0680372001957905
1,andy-hadfield,tim-britz,SW-24H-MFN,0.20537897310513448,0.16270337922403003
2,andy-hadfield,mitch-whayman,SW-24H-MFN,0.14180929095354522,0.1276595744680851
3,andy-hadfield,noah-coffey,SW-24H-MFN,0.007334963325183374,0.008760951188986232
4,andy-hadfield,brian-leputu,SW-24H-MFN,0.07334963325183375,0.04881101376720901
5,andy-hadfield,virginia-ivey,SW-24H-MFN,0.009779951100244499,0.011264080100125156
6,andy-hadfield,jennifer-escalona,SW-24H-MFN,0.004889975550122249,0.007509386733416771
7,andy-hadfield,jenty-verster,SW-24H-MFN,0.09046454767726161,0.060075093867334166
8,andy-hadfield,jim-cook,SW-24H-MFN,0.004889975550122249,0.007509386733416771
9,andy-hadfield,tyler-hayes,SW-24H-MFN,0.012224938875305624,0.01376720901126408
10,andy-hadfield,matthew-rothenberg,SW-24H-MFN,0.007334963325183374,0.008760951188986232
1,angela-baxley,morgan-holzer,SW-24H-MFN,0.06197854588796186,0.07238095238095238
2,angela-baxley,micah-saul,SW-24H-MFN,0.09296781883194279,0.0926984126984127
3,angela-baxley,nate-bolt,SW-24H-MFN,0.08462455303933254,0.08507936507936507
4,angela-baxley,cap-watkins,SW-24H-MFN,0.07985697258641239,0.07809523809523809
5,angela-baxley,keith-robinson,SW-24H-MFN,0.10011918951132301,0.10603174603174603
6,angela-baxley,micah-baldwin,SW-24H-MFN,0.0631704410011919,0.08698412698412698
7,angela-baxley,dean-faustman,SW-24H-MFN,0.08224076281287247,0.08063492063492063
8,angela-baxley,daniel-newman,SW-24H-MFN,0.04648390941597139,0.06412698412698413
9,angela-baxley,chris-hutchins,SW-24H-MFN,0.054827175208581644,0.05714285714285714
10,angela-baxley,mario-anima,SW-24H-MFN,0.04886769964243146,0.05333333333333334
1,anita-brooklynbybike-singh,grant-mason,SW-24H-MFN,0.04844961240310078,0.11896893588896233
2,anita-brooklynbybike-singh,franke-rodriguez,SW-24H-MFN,0.06782945736434108,0.1302048909451421
3,anita-brooklynbybike-singh,yawen-c,SW-24H-MFN,0.2054263565891473,0.1209517514871117
4,anita-brooklynbybike-singh,stan-chin,SW-24H-MFN,0.11627906976744186,0.11037673496364839
5,anita-brooklynbybike-singh,dan-manco,SW-24H-MFN,0.12209302325581395,0.11368142762723067
6,anita-brooklynbybike-singh,alex-rainert,SW-24H-MFN,0.10465116279069768,0.06411103767349637
7,anita-brooklynbybike-singh,ami-greko,SW-24H-MFN,0.1511627906976744,0.1394580304031725
8,anita-brooklynbybike-singh,koert-bakker,SW-24H-MFN,0.03682170542635659,0.0356906807666887
9,anita-brooklynbybike-singh,florian-fangohr,SW-24H-MFN,0.10077519379844961,0.048909451421017845
10,anita-brooklynbybike-singh,dan-satran,SW-24H-MFN,0.06589147286821706,0.027098479841374753
1,anjelika-paranjpe,blake-whitman,SW-24H-MFN,0.19148936170212766,0.1646803900325027
2,anjelika-paranjpe,john-mccarthy1,SW-24H-MFN,0.027659574468085105,0.06825568797399784
3,anjelika-paranjpe,casey-gollan,SW-24H-MFN,0.07872340425531915,0.10834236186348863
4,anjelika-paranjpe,ryan-brown0,SW-24H-MFN,0.14042553191489363,0.13109425785482123
5,anjelika-paranjpe,andrew-pile,SW-24H-MFN,0.11914893617021277,0.09859154929577464
6,anjelika-paranjpe,stephen-niebauer,SW-24H-MFN,0.05106382978723404,0.0390032502708559
7,anjelika-paranjpe,casey-pugh,SW-24H-MFN,0.09787234042553192,0.06825568797399784
8,anjelika-paranjpe,andrea-allen,SW-24H-MFN,0.04893617021276596,0.04333694474539545
9,anjelika-paranjpe,stephen-koch,SW-24H-MFN,0.13404255319148936,0.12351029252437704
10,anjelika-paranjpe,amir-cohen,SW-24H-MFN,0.11063829787234042,0.08775731310942579
1,anna-frenkel,erin-gleason,SW-24H-MFN,0.18128654970760233,0.1843525179856115
2,anna-frenkel,nathan-folkman,SW-24H-MFN,0.2046783625730994,0.23381294964028776
3,anna-frenkel,dens,SW-24H-MFN,0.23196881091617932,0.23741007194244604
4,anna-frenkel,jason-liszka,SW-24H-MFN,0.1539961013645224,0.1420863309352518
5,anna-frenkel,selene-liszka,SW-24H-MFN,0.17153996101364521,0.1393884892086331
6,anna-frenkel,ana-h,SW-24H-MFN,0.13840155945419103,0.08093525179856115
7,anna-frenkel,barret-wertz,SW-24H-MFN,0.05847953216374269,0.06924460431654676
8,anna-frenkel,jason-kende,SW-24H-MFN,0.1189083820662768,0.08992805755395683
9,anna-frenkel,justin-moore,SW-24H-MFN,0.0935672514619883,0.10161870503597123
10,anna-frenkel,kushal-dave,SW-24H-MFN,0.10526315789473684,0.07553956834532374
1,anthony-dines,rick-webb,SW-24H-MFN,0.225,0.3626707132018209
2,anthony-dines,jaesun-yeon,SW-24H-MFN,0.09166666666666666,0.13808801213960548
3,anthony-dines,jason-sutterfield,SW-24H-MFN,0.0625,0.09256449165402124
4,anthony-dines,dom-goodrum,SW-24H-MFN,0.1125,0.07738998482549317
5,anthony-dines,scott-stukey,SW-24H-MFN,0.025,0.04552352048558422
6,anthony-dines,mike-otoole,SW-24H-MFN,0.06666666666666667,0.05311077389984825
7,anthony-dines,matt-raoul,SW-24H-MFN,0.07916666666666666,0.0637329286798179
8,anthony-dines,geoff-stearns,SW-24H-MFN,0.10416666666666667,0.05918057663125948
9,anthony-dines,nichelle-stephens,SW-24H-MFN,0.016666666666666666,0.021244309559939303
10,anthony-dines,matt-abruzzo,SW-24H-MFN,0.020833333333333332,0.007587253414264037
1,anton-volnuhin,alexandr-blohin,SW-24H-MFN,0.234375,0.6333333333333333
2,anton-volnuhin,alexey-dolotov,SW-24H-MFN,0.15625,0.5555555555555556
3,anton-volnuhin,karma,SW-24H-MFN,0.1875,0.5888888888888889
4,anton-volnuhin,a-t,SW-24H-MFN,0.125,0.5388888888888889
5,anton-volnuhin,korobkov,SW-24H-MFN,0.265625,0.6277777777777778
6,anton-volnuhin,mikhail-geisherik,SW-24H-MFN,0.234375,0.6111111111111112
7,anton-volnuhin,vlad-sitnikov,SW-24H-MFN,0.203125,0.5944444444444444
8,anton-volnuhin,nadezhda-shukalova,SW-24H-MFN,0.21875,0.36666666666666664
9,anton-volnuhin,anton-nikitin,SW-24H-MFN,0.109375,0.4
10,anton-volnuhin,ekaterina-kukureko,SW-24H-MFN,0.125,0.19444444444444445
1,ari-greenberg,sarah-wulfeck,SW-24H-MFN,0.04276315789473684,0.037075718015665796
2,ari-greenberg,sarah-cooley,SW-24H-MFN,0.08223684210526316,0.06527415143603134
3,ari-greenberg,alli,SW-24H-MFN,0.08333333333333333,0.07101827676240209
4,ari-greenberg,patrick-roanhouse,SW-24H-MFN,0.029605263157894735,0.029242819843342035
5,ari-greenberg,anna-d,SW-24H-MFN,0.07346491228070176,0.06161879895561358
6,ari-greenberg,caroline-mccarthy,SW-24H-MFN,0.12828947368421054,0.11018276762402089
7,ari-greenberg,matt-hunter,SW-24H-MFN,0.04057017543859649,0.03289817232375979
8,ari-greenberg,brian-papa,SW-24H-MFN,0.0800438596491228,0.06997389033942558
9,ari-greenberg,mark-burstiner,SW-24H-MFN,0.06798245614035088,0.05796344647519582
10,ari-greenberg,robert-scoble,SW-24H-MFN,0.01864035087719298,0.01618798955613577
1,ben-kessler,jesse-middleton,SW-24H-MFN,0.14202334630350194,0.13073170731707318
2,ben-kessler,andrew-shults,SW-24H-MFN,0.122568093385214,0.0975609756097561
3,ben-kessler,idan-cohen,SW-24H-MFN,0.04474708171206226,0.04390243902439024
4,ben-kessler,chris-atkins5,SW-24H-MFN,0.04474708171206226,0.03804878048780488
5,ben-kessler,tim-shey,SW-24H-MFN,0.08365758754863813,0.06439024390243903
6,ben-kessler,jennifer-mcknight,SW-24H-MFN,0.08171206225680934,0.06634146341463415
7,ben-kessler,tim-kane,SW-24H-MFN,0.06809338521400778,0.04780487804878049
8,ben-kessler,jason-liszka,SW-24H-MFN,0.05642023346303502,0.05268292682926829
9,ben-kessler,jonathan-buske,SW-24H-MFN,0.009727626459143969,0.03902439024390244
10,ben-kessler,andrea-rosen,SW-24H-MFN,0.08365758754863813,0.06926829268292684
1,ben-parr,krystyl-b,SW-24H-MFN,0.24183006535947713,0.24101198402130491
