,NumPlaceid,NumUniqPlaceid,NumFriends,ShannonEntropy,LZ_entropy,LZ_entropy2,LZ_entropy10,LZ_entropy100,Predictability2,Predictability10,Predictability100,CrossEntropy,CrossPredictability2
mike-tylak,307,133,5,5.82485288281499,4.4189252918617505,4.4189252918617505,4.4189252918617505,4.4189252918617505,0.5835073782755459,0.5835073782755459,0.5835073782755459,6.625171757413674,0.30514569960039195
pieter-michels,217,63,5,4.070921681760339,3.2327382292523072,3.2327382292523072,3.2327382292523072,3.2327382292523072,0.6972143357474804,0.6972143357474804,0.6972143357474804,4.993923995205863,0.48489485626230844
christian-adams,311,157,19,6.520463304600652,5.010349629398088,5.010349629398088,5.010349629398088,5.010349629398088,0.5153492939354231,0.5153492939354231,0.5153492939354231,6.816468900290913,0.27968049961428065
sonia-porter,965,217,6,5.678816676538292,3.5019698581735006,3.5019698581735006,3.5019698581735006,3.5019698581735006,0.7314071104051568,0.7314071104051568,0.7314071104051568,9.065641862833925,0.1459599070177823
manuel-cano,454,99,2,4.129128995535515,3.4279324321899707,3.4279324321899707,3.4279324321899707,3.4279324321899707,0.7099570255090676,0.7099570255090676,0.7099570255090676,6.378907208128239,0.3860993263830689
malte-polzin,1097,404,10,7.194153934793418,5.124414684557032,5.124414684557032,5.124414684557032,5.124414684557032,0.589273035120274,0.589273035120274,0.589273035120274,7.944364417675416,0.30062503643931393
atknktn,1341,164,9,4.026873452563849,2.0308709056667493,2.0308709056667493,2.0308709056667493,2.0308709056667493,0.8605910873591806,0.8605910873591806,0.8605910873591806,3.6652560497175632,0.7283898929221897
jeanna-denny,28,20,1,4.2359263506290326,3.7390538282670254,3.7390538282670254,3.7390538282670254,,0.42005474397023124,0.42005474397023124,,7.011897272588873,-0.3069153879670835
mark-g,3576,827,34,7.585637223615193,5.443142815183952,5.443142815183952,5.443142815183952,5.443142815183952,0.6200252330356395,0.6200252330356395,0.6200252330356395,5.762845693269426,0.5943092228980896
silvia-carbone,278,106,17,6.074111889311648,4.550535520599062,4.550535520599062,4.550535520599062,4.550535520599062,0.5610748676854476,0.5610748676854476,0.5610748676854476,7.761443075366958,0.10200019324888679
gerald-hensel,629,349,47,7.8461109075736735,6.155537151712709,6.155537151712709,6.155537151712709,6.155537151712709,0.4443571885538142,0.4443571885538142,0.4443571885538142,5.690097302381583,0.49538999484779095
bruna-pastorini,94,51,3,5.102149223879964,4.278689944845125,4.278689944845125,4.278689944845125,,0.4986059144235481,0.4986059144235481,,5.106117092354969,0.3637804766103151
ngsddd,77,21,3,3.7168573550668262,2.838485668432397,2.838485668432397,2.838485668432397,,0.6888572291540404,0.6888572291540404,,3.482710952484049,0.5981560412853932
michael-walton6,429,225,3,6.964248642927271,5.590959338729218,5.590959338729218,5.590959338729218,5.590959338729218,0.4745936096032287,0.4745936096032287,0.4745936096032287,9.156429095060615,-0.05963721614152177
rick-rodriguez,293,164,2,6.681106335433559,5.3003614974519175,5.3003614974519175,5.3003614974519175,5.3003614974519175,0.47468826965787925,0.47468826965787925,0.47468826965787925,7.736061610784105,0.12006487573135863
eb,116,96,6,6.362429758443386,5.806757630910936,5.806757630910936,5.806757630910936,5.806757630910936,0.2758753654659012,0.2758753654659012,0.2758753654659012,7.327060410882131,-0.07054455598875378
kerri-prive,207,92,2,5.6399695091546285,4.537184615961141,4.537184615961141,4.537184615961141,4.537184615961141,0.5392399919098099,0.5392399919098099,0.5392399919098099,9.63905933568921,-0.2604590086790224
aaron-magness,163,130,3,6.832538181915647,5.929914302671613,5.929914302671613,5.929914302671613,5.929914302671613,0.31447630172835894,0.31447630172835894,0.31447630172835894,8.600118472187642,-0.17745996342272186
bruno-barreto,575,219,12,6.515614572304053,4.958857416607008,4.958857416607008,4.958857416607008,4.958857416607008,0.566639449530085,0.566639449530085,0.566639449530085,4.627350806385628,0.6009804919471131
kissaguramii,136,111,2,6.668201444127874,5.949968805000285,5.949968805000285,5.949968805000285,5.949968805000285,0.28013810523109633,0.28013810523109633,0.28013810523109633,7.703751644567113,-0.09221786279364803
clyde-erwin-barretto,376,235,3,7.332246983198189,5.85888052501055,5.85888052501055,5.85888052501055,5.85888052501055,0.4301056156892682,0.4301056156892682,0.4301056156892682,8.324506316795757,0.06867027607364404
karl-stanton,51,14,2,2.7351275245657867,2.22533609569651,2.22533609569651,2.22533609569651,,0.7495719039697205,0.7495719039697205,,4.250195591774365,0.4209061968997246
raul-mangolin,189,95,10,6.074796995795683,4.595703595426954,4.595703595426954,4.595703595426954,4.595703595426954,0.5238203582518258,0.5238203582518258,0.5238203582518258,5.682502232627435,0.37405348896614277
emmanuelle-michaud,141,105,2,6.375655317892586,5.687439212927853,5.687439212927853,5.687439212927853,5.687439212927853,0.3306721651351751,0.3306721651351751,0.3306721651351751,7.770491427665548,-0.09424582583490182
rob-roef,698,196,3,4.94610824248565,3.934405782753185,3.934405782753185,3.934405782753185,3.934405782753185,0.6792763991890651,0.6792763991890651,0.6792763991890651,8.79142833393381,0.127483353378872
alison-burke,162,107,6,6.4305893550688875,5.454383947097749,5.454383947097749,5.454383947097749,5.454383947097749,0.3873455585661415,0.3873455585661415,0.3873455585661415,6.5907239751342575,0.19923746668616743
rob-condon,215,91,2,5.651713641174235,4.454175033854903,4.454175033854903,4.454175033854903,4.454175033854903,0.5527689307647927,0.5527689307647927,0.5527689307647927,7.235885177571274,0.14117266095630052
rory-siems,425,201,8,6.849274026610629,5.11835943198021,5.11835943198021,5.11835943198021,5.11835943198021,0.527882521302575,0.527882521302575,0.527882521302575,9.035346992058171,-0.0450656486528177
jason-sares,278,198,5,7.393169064116082,6.217811620432878,6.217811620432878,6.217811620432878,6.217811620432878,0.3486404255040008,0.3486404255040008,0.3486404255040008,8.249514693942741,-0.01967914473531177
andrew-yates,863,167,5,5.5553161078591895,3.8207108736002895,3.8207108736002895,3.8207108736002895,3.8207108736002895,0.6987276842084611,0.6987276842084611,0.6987276842084611,3.9954475657254016,0.6827127539584761
ali-tasci,224,95,2,6.138102338738455,4.566181468775205,4.566181468775205,4.566181468775205,4.566181468775205,0.542190797917036,0.542190797917036,0.542190797917036,7.357552004618084,0.12735573055628538
tina-hoffman,296,170,16,6.842693243830577,5.573390358316901,5.573390358316901,5.573390358316901,5.573390358316901,0.44136846180868056,0.44136846180868056,0.44136846180868056,8.934685690025825,-0.10312744264665587
brian-detweiler,1408,298,14,6.307178164722502,4.6945743446099195,4.6945743446099195,4.6945743446099195,4.6945743446099195,0.641163219959051,0.641163219959051,0.641163219959051,6.688018408774656,0.4555845619796322
jes-voight,658,255,21,6.4945729951132005,4.790170297914299,4.790170297914299,4.790170297914299,4.790170297914299,0.5924087569216518,0.5924087569216518,0.5924087569216518,4.644919026427698,0.6070171063277482
raffaele-viglianti,68,51,1,5.477024973539652,4.813342711686315,4.813342711686315,4.813342711686315,,0.3622196555521243,0.3622196555521243,,8.081355120429826,-0.28508170347299344
kan-ishigami,90,37,2,4.317460028251534,3.2823976329756785,3.2823976329756785,3.2823976329756785,,0.6388427564771896,0.6388427564771896,,6.912478555882603,-0.06216166187796105
ben-tyers,64,35,1,4.591982282211645,3.84,3.84,3.84,,0.52457582198785,0.52457582198785,,6.285402218862249,-0.03715417238702897
troy-morris,668,253,1,6.916464345456446,5.280804100566694,5.280804100566694,5.280804100566694,5.280804100566694,0.5431266107207405,0.5431266107207405,0.5431266107207405,7.99539425746962,0.23083817655838917
james-hunt,271,54,2,3.9415236147953006,3.0462620169776073,3.0462620169776073,3.0462620169776073,3.0462620169776073,0.7274683340271667,0.7274683340271667,0.7274683340271667,7.6546360285279675,0.11658660017691821
anna-banana5,137,74,1,5.6595108682187405,4.7205358998329725,4.7205358998329725,4.7205358998329725,4.7205358998329725,0.4747951698750128,0.4747951698750128,0.4747951698750128,5.557094994652285,0.3473850807233842
ariil-davidoff,200,66,2,4.915831248568836,3.841133763705891,3.841133763705891,3.841133763705891,3.841133763705891,0.6222546181061068,0.6222546181061068,0.6222546181061068,3.778534922708288,0.629724913082017
andy-murphy3,195,72,14,5.164210262979385,3.9452909871839736,3.9452909871839736,3.9452909871839736,3.9452909871839736,0.6079942846101863,0.6079942846101863,0.6079942846101863,7.087261299837465,0.14655459144475824
zamil-safwan,616,159,34,5.705203275162458,4.200397725583561,4.200397725583561,4.200397725583561,4.200397725583561,0.647657684043077,0.647657684043077,0.647657684043077,4.001616949594454,0.6671368042486717
keir-whitaker,31,21,5,4.037861731142788,3.745855746877882,3.745855746877882,3.745855746877882,,0.43815320456573253,0.43815320456573253,,5.830700709945256,-0.11751700590960565
dan-gigante,861,375,11,7.714201512256494,5.858086236558745,5.858086236558745,5.858086236558745,5.858086236558745,0.5016415773660069,0.5016415773660069,0.5016415773660069,6.008780918863233,0.4861266681372069
celine-montheard,2,1,1,-0.0,1.0,1.0,,,0.5000006468501839,,,5.7577497470290995,0.5
scott-st-pierre,213,85,3,5.273919281392724,3.7873405726623073,3.7873405726623073,3.7873405726623073,3.7873405726623073,0.6326648733676409,0.6326648733676409,0.6326648733676409,8.977668698360445,-0.17299120418132793
marta,282,168,2,6.969885596110278,5.7672198024534165,5.7672198024534165,5.7672198024534165,5.7672198024534165,0.41112866594045344,0.41112866594045344,0.41112866594045344,9.355010288124975,-0.16565796383313053
tatsumi,107,53,1,4.811281537960311,4.007427597471793,4.007427597471793,4.007427597471793,4.007427597471793,0.5518384526996127,0.5518384526996127,0.5518384526996127,5.342075284611593,0.34400614623609194
ahuvah-berger,248,119,27,6.274172486589218,5.177534606236077,5.177534606236077,5.177534606236077,5.177534606236077,0.4741737667684041,0.4741737667684041,0.4741737667684041,5.400313733006561,0.4452993342537107
h5k1,127,24,1,3.6170906762262405,2.948714136943738,2.948714136943738,2.948714136943738,2.948714136943738,0.7031375469301102,0.7031375469301102,0.7031375469301102,8.179501278518382,-0.1720327949752119
michael-celiceo,574,318,9,7.684637312517855,6.0957781876151165,6.0957781876151165,6.0957781876151165,6.0957781876151165,0.4428050986592224,0.4428050986592224,0.4428050986592224,7.1250250887305855,0.32121086092296025
raoul-shah,2249,1039,2,9.297680489315601,6.618067603079891,6.618067603079891,6.618067603079891,6.618067603079891,0.4954272653506743,0.4954272653506743,0.4954272653506743,8.507014896148661,0.3168890422383092
andrew-couldwell,129,54,1,4.636740805498034,3.6033797448191223,3.6033797448191223,3.6033797448191223,3.6033797448191223,0.6219012058460271,0.6219012058460271,0.6219012058460271,8.098032082960527,-0.15789291995606505
josh-h4,1201,289,4,6.330852027147573,4.364566445215797,4.364566445215797,4.364566445215797,4.364566445215797,0.6633983800166445,0.6633983800166445,0.6633983800166445,6.4672579465665,0.4651618191897452
alastair-green,1066,492,29,7.66224189146755,5.646034321464604,5.646034321464604,5.646034321464604,5.646034321464604,0.5376069938807735,0.5376069938807735,0.5376069938807735,5.164791322425492,0.5838401018666721
matt-curry,865,351,2,7.024215354945126,4.841893986794799,4.841893986794799,4.841893986794799,4.841893986794799,0.6029966195109248,0.6029966195109248,0.6029966195109248,7.855890353811901,0.2827468591886144
irad-eshel,75,49,2,5.328474858024813,4.6253604137345645,4.6253604137345645,4.6253604137345645,,0.41258562289830625,0.41258562289830625,,7.754047194918192,-0.22114439124111626
ronald-bruintjes,369,114,4,5.644689853941409,4.4951985931946945,4.4951985931946945,4.4951985931946945,4.4951985931946945,0.5873411744790753,0.5873411744790753,0.5873411744790753,6.178958463155992,0.3881218078380134
laurens,750,165,8,5.843479162919068,4.116701200596225,4.116701200596225,4.116701200596225,4.116701200596225,0.6651999902779853,0.6651999902779853,0.6651999902779853,6.897616262076757,0.37781519181535345
sebastian-oddo,230,117,11,5.7672115068434815,4.23582796177748,4.23582796177748,4.23582796177748,4.23582796177748,0.5845791662567625,0.5845791662567625,0.5845791662567625,9.239303741310918,-0.1908089469009229
erin27,998,364,7,6.700690939428659,4.674645140256976,4.674645140256976,4.674645140256976,4.674645140256976,0.6264325653037582,0.6264325653037582,0.6264325653037582,6.345377645703706,0.46299662767107247
rose-ahn,484,238,8,6.756105973820314,5.290110057403068,5.290110057403068,5.290110057403068,5.290110057403068,0.5187103569958963,0.5187103569958963,0.5187103569958963,6.0315412064646345,0.43426261145715983
marcelino-alvarez,916,363,26,7.180271062497691,5.304714932252384,5.304714932252384,5.304714932252384,5.304714932252384,0.5613179250906863,0.5613179250906863,0.5613179250906863,4.9380639012164345,0.5969210531187762
neil-salt,255,101,1,4.688730383482262,3.3528949447352114,3.3528949447352114,3.3528949447352114,3.3528949447352114,0.6918330306834439,0.6918330306834439,0.6918330306834439,4.2364913446463035,0.5918041507658198
will-charczuk,338,204,5,6.938235466046665,5.830589834627061,5.830589834627061,5.830589834627061,5.830589834627061,0.42263201188933214,0.42263201188933214,0.42263201188933214,5.016614782920954,0.5214796286529636
samantha-jimenez,330,169,4,6.934462572094256,5.488839623660278,5.488839623660278,5.488839623660278,5.488839623660278,0.4627017946569701,0.4627017946569701,0.4627017946569701,8.316912683741677,0.026488391742202317
natalie-straight,199,92,3,4.9262032535211935,3.9575216132504845,3.9575216132504845,3.9575216132504845,3.9575216132504845,0.6079109545577668,0.6079109545577668,0.6079109545577668,3.566088832095369,0.6544811387920882
tim-dennis,790,245,3,6.725887312580824,4.909173651401503,4.909173651401503,4.909173651401503,4.909173651401503,0.5912920764411179,0.5912920764411179,0.5912920764411179,5.471257206618318,0.5350315674990921
alberto-mengora,39,30,7,4.733869526443608,4.206748704808729,4.206748704808729,4.206748704808729,,0.3811019452636298,0.3811019452636298,,7.186960666392305,-0.27157365697372393
joel-nugent,283,91,1,4.5439523958600425,3.359968342159508,3.359968342159508,3.359968342159508,3.359968342159508,0.6960622314039475,0.6960622314039475,0.6960622314039475,10.055282435501189,-0.24923828965942832
joaquin,526,199,1,6.034198918517673,4.643038465202882,4.643038465202882,4.643038465202882,4.643038465202882,0.5940000381864466,0.5940000381864466,0.5940000381864466,5.643856189774724,0.4860191433525355
jess-corbett,200,47,1,4.331099996313391,3.1521056452679272,3.1521056452679272,3.1521056452679272,3.1521056452679272,0.7022750644908833,0.7022750644908833,0.7022750644908833,6.475733430966398,0.26034511236527924
jay-santiago,657,288,2,7.295774677442268,5.46123930828754,5.46123930828754,5.46123930828754,5.46123930828754,0.5230828279259069,0.5230828279259069,0.5230828279259069,8.471913240462293,0.16325665760827954
emily-vernon,187,128,12,6.7199147651598485,5.736866926825155,5.736866926825155,5.736866926825155,5.736866926825155,0.364592577582215,0.364592577582215,0.364592577582215,5.931260730462674,0.3353409169090335
joseph-hancock,432,266,1,7.508932242352001,5.900329798649952,5.900329798649952,5.900329798649952,5.900329798649952,0.4388241195901728,0.4388241195901728,0.4388241195901728,6.028959591090689,0.42342211136358715
kelley-tibbs,581,214,9,6.7157196155364804,5.215025532089963,5.215025532089963,5.215025532089963,5.215025532089963,0.5403305380187798,0.5403305380187798,0.5403305380187798,6.004453776007433,0.45418649475975964
michigangoblue,1,1,119,-0.0,0.0,,,,,,,10.397396008476447,
nick-jewell,985,220,2,4.959564409769629,2.651548515329882,2.651548515329882,2.651548515329882,2.651548515329882,0.8049212927307994,0.8049212927307994,0.8049212927307994,6.652057701648122,0.43010387828459673
jessica-clement-von-rohr,40,29,1,4.439822782008754,3.870493159918082,3.870493159918082,3.870493159918082,,0.4558354587366152,0.4558354587366152,,4.562447387561407,0.30456647721172375
mark-b,102,45,1,4.330781286863338,3.7810410271171806,3.7810410271171806,3.7810410271171806,3.7810410271171806,0.5795593852869714,0.5795593852869714,0.5795593852869714,5.4042487289987,0.32496076553479825
santiago-siri,370,196,18,7.017221871533842,5.6875876403442085,5.6875876403442085,5.6875876403442085,5.6875876403442085,0.44942925474543144,0.44942925474543144,0.44942925474543144,5.81758487226323,0.4335531896517092
saneel-radia,597,378,29,8.033732195987625,6.507432046566299,6.507432046566299,6.507432046566299,6.507432046566299,0.39942306908125275,0.39942306908125275,0.39942306908125275,6.010606798777558,0.4558915171036259
matt60,87,47,2,5.093036203938105,4.345240962316584,4.345240962316584,4.345240962316584,,0.47924900277927585,0.47924900277927585,,8.814235301659808,-0.3315539607880649
rachel3,553,233,3,7.018735650989137,5.573515515088267,5.573515515088267,5.573515515088267,5.573515515088267,0.49788481701271703,0.49788481701271703,0.49788481701271703,6.875353328581078,0.34747248404628733
brian-keegan,103,49,5,4.411939429171208,3.7027395392466205,3.7027395392466205,3.7027395392466205,3.7027395392466205,0.5913129775354129,0.5913129775354129,0.5913129775354129,7.586996086947419,-0.1332933275192183
hamsah-achmad,134,63,1,5.249692314529227,3.8965265494705412,3.8965265494705412,3.8965265494705412,3.8965265494705412,0.5863855070854178,0.5863855070854178,0.5863855070854178,8.335390354693924,-0.18198417186032087
ian-archibald,449,204,2,6.6798916040469285,5.0266158373554966,5.0266158373554966,5.0266158373554966,5.0266158373554966,0.5422272561271088,0.5422272561271088,0.5422272561271088,4.295603572582052,0.6209702335473833
marc-weil,130,76,4,5.670209114383368,4.7057103901737065,4.7057103901737065,4.7057103901737065,4.7057103901737065,0.47111701483978685,0.47111701483978685,0.47111701483978685,9.047610200674704,-0.28001704377192527
felix6,165,25,4,3.1303234960533626,2.6422677507620858,2.6422677507620858,2.6422677507620858,2.6422677507620858,0.7509387719207391,0.7509387719207391,0.7509387719207391,5.18151385749369,0.4297274613347314
nerea-escribano,8,7,1,2.75,3.0,3.0,,,0.12500144494732582,,,8.791162888555018,-0.6052414324993701
erika-dodge,622,211,8,5.878844265947506,4.158962117450457,4.158962117450457,4.158962117450457,4.158962117450457,0.6522167405198184,0.6522167405198184,0.6522167405198184,6.5447259806468,0.399228445282151
luis-felipe-lanz,183,89,4,5.454658535000439,4.494683236620849,4.494683236620849,4.494683236620849,4.494683236620849,0.5340793012814841,0.5340793012814841,0.5340793012814841,7.1040183401259664,0.12688134938957343
andre-souza5,275,79,2,4.390273627239149,3.296455839220868,3.296455839220868,3.296455839220868,3.296455839220868,0.7015274693450595,0.7015274693450595,0.7015274693450595,4.862673469843619,0.5228251499999508
dmitry-shatohin,54,25,29,4.122684437581662,3.4529325012980814,3.4529325012980814,3.4529325012980814,,0.5693295360966432,0.5693295360966432,,6.15433559565627,-0.05370989663659352
jesse-engle,424,240,19,7.027047425486734,5.590088025279148,5.590088025279148,5.590088025279148,5.590088025279148,0.47365647684827444,0.47365647684827444,0.47365647684827444,6.116356231104546,0.41092748557425596
adam-johnson1,283,133,13,6.331808042028575,4.999866123039962,4.999866123039962,4.999866123039962,4.999866123039962,0.5085628770843168,0.5085628770843168,0.5085628770843168,9.225464044891348,-0.14887921044332142
raz-schwartz,220,88,1,5.575576066795703,4.412111177771715,4.412111177771715,4.412111177771715,4.412111177771715,0.5598008710968227,0.5598008710968227,0.5598008710968227,8.350062455999682,-0.08397048484100042
susan-wilkison,688,277,4,7.394630531740741,5.7544544376531,5.7544544376531,5.7544544376531,5.7544544376531,0.49549776819994884,0.49549776819994884,0.49549776819994884,4.971708280502027,0.5767506227835683
mason-rothman,68,46,6,5.260041333801954,4.4510480989787435,4.4510480989787435,4.4510480989787435,,0.42866286158626854,0.42866286158626854,,8.260995510337555,-0.30899611809516464
cassandra7,94,62,2,5.576140251134684,4.7394719389053686,4.7394719389053686,4.7394719389053686,,0.42569656996249244,0.42569656996249244,,5.726261802774637,0.24785387520740876
kasey-crabtree,704,249,15,6.533591812788528,5.13053918298972,5.13053918298972,5.13053918298972,5.13053918298972,0.5620686143891486,0.5620686143891486,0.5620686143891486,7.0922519608039165,0.34872827085232716
aaron-landry,1892,724,35,8.506794768304156,6.478684346762547,6.478684346762547,6.478684346762547,6.478684346762547,0.49666975245270356,0.49666975245270356,0.49666975245270356,5.217073532764101,0.6093798039078675
yann-ropars,170,82,12,5.380838632472375,4.450870880365405,4.450870880365405,4.450870880365405,4.450870880365405,0.533289148698165,0.533289148698165,0.533289148698165,8.487538118388088,-0.15431332407781168
j-f-grossen,905,569,8,8.737369673507196,7.054528137843939,7.054528137843939,7.054528137843939,7.054528137843939,0.3791246890423073,0.3791246890423073,0.3791246890423073,6.468214611865837,0.44218102297932677
henry-gwensonic,359,97,6,5.560114945609445,4.232131350197883,4.232131350197883,4.232131350197883,4.232131350197883,0.6145233368228368,0.6145233368228368,0.6145233368228368,8.679568746369657,-0.0292410929604378
slavik-zahorodniy,74,21,2,3.535797201587749,2.889934270795864,2.889934270795864,2.889934270795864,,0.6793389841698434,0.6793389841698434,,2.6055484374832085,0.7177537223355196
martin-eigtved,104,21,6,3.177583182738573,2.690524056705303,2.690524056705303,2.690524056705303,2.690524056705303,0.7246055935193232,0.7246055935193232,0.7246055935193232,6.233329591925709,0.16408723933492428
hyungtak-kim,597,392,2,8.0345675452055,6.313403109398037,6.313403109398037,6.313403109398037,6.313403109398037,0.4217318376509962,0.4217318376509962,0.4217318376509962,8.869716869781913,0.082464771285551
frederic-morin,583,221,2,6.263996455969432,4.773820194898298,4.773820194898298,4.773820194898298,4.773820194898298,0.5867505245174615,0.5867505245174615,0.5867505245174615,6.470044309568603,0.4013751080536371
benjamin-bittman,159,116,2,6.645342291841457,5.7561801479713495,5.7561801479713495,5.7561801479713495,5.7561801479713495,0.3382864576111919,0.3382864576111919,0.3382864576111919,8.285356983677778,-0.14085053726068514
josh9,676,128,5,5.338959689733258,3.453801358112368,3.453801358112368,3.453801358112368,3.453801358112368,0.7230910186970959,0.7230910186970959,0.7230910186970959,9.148730779173189,0.062478421291473595
ryan-fox,154,105,4,6.294728470149923,5.458951840326902,5.458951840326902,5.458951840326902,5.458951840326902,0.3797970603606703,0.3797970603606703,0.3797970603606703,7.991988469730118,-0.1072529799386084
ferrara-david,596,116,18,5.530709093805231,3.501991356402453,3.501991356402453,3.501991356402453,3.501991356402453,0.713762328111481,0.713762328111481,0.713762328111481,7.227707856344301,0.31309930721131585
renaud-i,304,142,5,5.703935715035318,4.831156000167341,4.831156000167341,4.831156000167341,4.831156000167341,0.5348084538785074,0.5348084538785074,0.5348084538785074,8.249375381376996,0.002961308113365778
martin-thomas3,485,128,2,4.937206864965234,3.7496471875919655,3.7496471875919655,3.7496471875919655,3.7496471875919655,0.6808762416387202,0.6808762416387202,0.6808762416387202,8.005436046374763,0.17823116052760718
michael-gilliland,690,104,1,4.969361240239349,3.5421950248498733,3.5421950248498733,3.5421950248498733,3.5421950248498733,0.7156564764159765,0.7156564764159765,0.7156564764159765,9.375039431346925,0.02160009938127448
stephane-allard,599,179,4,5.5439200409791205,3.824651144277151,3.824651144277151,3.824651144277151,3.824651144277151,0.6830432239961571,0.6830432239961571,0.6830432239961571,8.189957301393822,0.18760638852500316
laia,190,132,2,6.701184733253576,5.75309026233152,5.75309026233152,5.75309026233152,5.75309026233152,0.3643624286601291,0.3643624286601291,0.3643624286601291,8.768783917391277,-0.16882572134332957
derek3,1257,585,7,8.08581125055885,5.749347645742594,5.749347645742594,5.749347645742594,5.749347645742594,0.5382469428610931,0.5382469428610931,0.5382469428610931,4.376610270080422,0.6642945258740162
anthony-madama,431,228,1,7.043066275876448,5.629724611145375,5.629724611145375,5.629724611145375,5.629724611145375,0.47049195978255587,0.47049195978255587,0.47049195978255587,7.256236506345549,0.26608280896227066
marrina,1104,379,7,7.484689805768107,5.809375846060957,5.809375846060957,5.809375846060957,5.809375846060957,0.5239996933815801,0.5239996933815801,0.5239996933815801,6.019459754530813,0.5033754008206832
dan-mactiernan,251,74,5,4.813607953239131,3.818430213819931,3.818430213819931,3.818430213819931,3.818430213819931,0.6390828281202399,0.6390828281202399,0.6390828281202399,5.8407963810249575,0.38769350749237796
christoph-mahr,554,231,9,5.888115366783066,4.315395863240385,4.315395863240385,4.315395863240385,4.315395863240385,0.6306473483911638,0.6306473483911638,0.6306473483911638,6.537664531839301,0.3882184965264757
jake-g,320,157,1,6.50957168287867,5.22160194189011,5.22160194189011,5.22160194189011,5.22160194189011,0.49241813409418433,0.49241813409418433,0.49241813409418433,9.425460288677884,-0.15012173896639017
carole-currie,36,29,2,4.7045114597155475,4.328309303533099,4.328309303533099,4.328309303533099,,0.33563189489524703,0.33563189489524703,,8.82139020431255,-0.505835754839322
mathieu-chouinard,201,126,5,6.3641268215246045,5.3584020554946505,5.3584020554946505,5.3584020554946505,5.3584020554946505,0.4278441098590978,0.4278441098590978,0.4278441098590978,8.188267878995063,-0.07993603854576913
eric-campos,202,87,1,5.290682212434318,4.470978958138331,4.470978958138331,4.470978958138331,4.470978958138331,0.545555882762278,0.545555882762278,0.545555882762278,7.917628306852031,-0.03941912566201226
mauricio-moreira,210,77,8,4.493149215971135,3.58405212103957,3.58405212103957,3.58405212103957,3.58405212103957,0.6555223540209684,0.6555223540209684,0.6555223540209684,4.073805570184282,0.5975967320382243
jordan-edmonson,152,87,1,5.679281966513049,4.708055478818056,4.708055478818056,4.708055478818056,4.708055478818056,0.48766410010117256,0.48766410010117256,0.48766410010117256,6.4172131113259425,0.2179477522006914
manchita,247,83,14,4.818859643775778,3.782748952218527,3.782748952218527,3.782748952218527,3.782748952218527,0.6421914179637681,0.6421914179637681,0.6421914179637681,3.802862466886154,0.639900361599119
mo-krochmal,244,195,14,7.474245214672472,6.604436554147933,6.604436554147933,6.604436554147933,6.604436554147933,0.2734051325416749,0.2734051325416749,0.2734051325416749,8.233835678564821,-0.04596749731434388
